No.;Timecode In;Timecode Out;Subtitle
327;00:06:41:23;00:06:41:23;FABstvd sind schon jetzt( ( und bis zumN
328;00:06:41:23;00:06:41:23;FABst* 25. April gültig.ÿÿ7
329;00:06:41:23;00:06:44:22;"sind schon jetzt

und bis zum 25. April gÈultig."
330;00:06:45:13;00:06:45:13;FABstwd Auch Flughäfen werden( ( vom Sicherheö
331;00:06:45:13;00:06:45:13;FABst2itspersonal bestreikt.ÿÿ/é
332;00:06:45:13;00:06:49:13;"Auch FlughÈafen werden

vom Sicherheitspersonal bestreikt."
333;00:06:50:01;00:06:50:01;FABstxd Hamburg, Köln/Bonn und Düsseldorf( ( voPx
334;00:06:50:01;00:06:50:01;FABst:n morgen bis Freitagabend,ÿÿ'Ðx
335;00:06:50:01;00:06:53:20;"Hamburg, KÈoln/Bonn und DÈusseldorf

von morgen bis Freitagabend,"
336;00:06:53:22;00:06:53:22;FABstyH Stuttgart nur am Freitag.ÿÿ¾
337;00:06:53:22;00:06:55:17;Stuttgart nur am Freitag.
338;00:06:55:22;00:06:55:22;FABstzd Hunderte Starts fallen aus,( ( einige
339;00:06:55:22;00:06:55:22;FABst8 Landungen seien möglich.ÿÿ)$Ú
340;00:06:55:22;00:06:59:23;"Hunderte Starts fallen aus,

einige Landungen seien mÈoglich."
341;00:07:01:07;00:07:01:07;FABst{d Die EU will stärker gegen die( ( AbholzuÆ
342;00:07:01:07;00:07:01:07;FABst>ng des Regenwaldes vorgehen.ÿÿ#Ü¶
343;00:07:01:07;00:07:05:12;"Die EU will stÈarker gegen die

Abholzung des Regenwaldes vorgehen."
344;00:07:05:14;00:07:05:14;FABst|d Das EU-Parlament stimmte einem( ( entsprG
345;00:07:05:14;00:07:05:14;FABst:echenden Gesetzentwurf zu:ÿÿ'
346;00:07:05:14;00:07:09:12;"Das EU-Parlament stimmte einem

entsprechenden Gesetzentwurf zu:"
347;00:07:09:14;00:07:09:14;FABst}d Firmen müssen künftig nachweisen,( ( ¤
348;00:07:09:14;00:07:09:14;FABst4dass für ihre Produkteÿÿ-
349;00:07:09:14;00:07:13:00;"Firmen mÈussen kÈunftig nachweisen,

dass fÈur ihre Produkte"
350;00:07:13:02;00:07:13:02;FABst~d keine Wälder gerodet wurden,( ( wenn siø
351;00:07:13:02;00:07:13:02;FABst:e die in der EU verkaufen.ÿÿ'ä
352;00:07:13:02;00:07:17:03;"keine WÈalder gerodet wurden,

wenn sie die in der EU verkaufen."
353;00:07:17:21;00:07:17:21;FABstN Bei Verstößen drohen Geldbußen.ÿÿ^
354;00:07:17:21;00:07:19:23;Bei VerstÈoûen drohen Geldbuûen.
355;00:07:20:00;00:07:20:00;FABst<i>d Damit die Regeln in Kraft treten,( ( müssQ¬
356;00:07:20:00;00:07:20:00;FABstHen die Mitgliedsländer zustimmen.ÿÿn
357;00:07:20:00;00:07:24:05;"Damit die Regeln in Kraft treten,

mÈussen die MitgliedslÈander zustimmen."
358;00:07:24:07;00:07:24:07;FABst</i>J Das gilt aber als Formsache.ÿÿS°
359;00:07:24:07;00:07:26:07;Das gilt aber als Formsache.
360;00:07:27:02;00:07:27:02;FABst<u>J Der Wald am Amazonas brennt.iF
361;00:07:27:02;00:07:29:00;Der Wald am Amazonas brennt.
362;00:07:29:02;00:07:29:02;FABst</u>N Durch Brandrodung wird weltweitä
363;00:07:29:02;00:07:31:02;Durch Brandrodung wird weltweit
364;00:07:31:04;00:07:31:04;FABstdein Areal von 15.000 Fußballfeldern( ( Z
365;00:07:31:04;00:07:31:04;FABst8vernichtet jeden Tag.ÿÿ)ûv
366;00:07:31:04;00:07:35:02;"ein Areal von 15.000 Fuûballfeldern

vernichtet Ð jeden Tag."
367;00:07:36:03;00:07:36:03;FABstd Auf den Flächen( ( wird dann Kâ
368;00:07:36:03;00:07:36:03;FABst$affee angebaut,ÿÿ=Z
369;00:07:36:03;00:07:38:18;"Auf den FlÈachen

wird dann Kaffee angebaut,"
370;00:07:38:20;00:07:38:20;FABstd Kakao oder Palmöl, das in( ( SchokocremL
371;00:07:38:20;00:07:38:20;FABst6es oder Kosmetik steckt.ÿÿ+Ãà
372;00:07:38:20;00:07:42:17;"Kakao oder PalmÈol, das in

Schokocremes oder Kosmetik steckt."
373;00:07:43:08;00:07:43:08;FABstd Oder es werden Rinder( ( auf den gerþ¶
374;00:07:43:08;00:07:43:08;FABst8odeten Flächen gezüchtet.ÿÿ)çD
375;00:07:43:08;00:07:46:22;"Oder es werden Rinder

auf den gerodeten FlÈachen gezÈuchtet."
376;00:07:46:24;00:07:46:24;FABstPDas Fleisch landet in Restaurants,ÿÿ[Ö
377;00:07:46:24;00:07:49:03;Das Fleisch landet in Restaurants,
378;00:07:49:05;00:07:49:05;FABstd die Haut als Leder( ( in den SitzeÃ
379;00:07:49:05;00:07:49:05;FABst.n von Premium-Autos.ÿÿ3íÜ
380;00:07:49:05;00:07:52:06;"die Haut als Leder

in den Sitzen von Premium-Autos."
381;00:07:52:08;00:07:52:08;"FABst
d Bislang ist die EU für 10 % der( ( weltweP´"
382;00:07:52:08;00:07:52:08;FABstBiten Nachfrage verantwortlich.ÿÿÑÒ
383;00:07:52:08;00:07:56:11;"Bislang ist die EU fÈur 10 % der

weltweiten Nachfrage verantwortlich."
384;00:07:56:22;00:07:56:22;FABstdDie freiwilligen Verpflichtungen( ( habení´
385;00:07:56:22;00:07:56:22;FABst< bisher nicht dazu geführt,-FÔ
386;00:07:56:22;00:08:00:18;"Die freiwilligen Verpflichtungen

haben bisher nicht dazu gefÈuhrt,"
387;00:08:00:20;00:08:00:20;FABstD dass das sich ändert.!û¶
388;00:08:00:20;00:08:02:03;dass das sich Èandert.
389;00:08:02:05;00:08:02:05;FABstPDaher haben wir in der EU gesagt:ÿÿ=
390;00:08:02:05;00:08:04:03;Daher haben wir in der EU gesagt:
391;00:08:04:05;00:08:04:05;FABstd Wir müssen Verantwortung( ( für unseòÈ
392;00:08:04:05;00:08:04:05;FABst2ren Konsum übernehmen.ÿÿ/b
393;00:08:04:05;00:08:07:09;"Wir mÈussen Verantwortung

fÈur unseren Konsum Èubernehmen."
394;00:08:07:11;00:08:07:11;FABstd Deswegen müssen Unternehmen( ( s(
395;00:08:07:11;00:08:07:11;FABst(nun nachweisen,ÿÿ9<u>\
396;00:08:07:11;00:08:09:23;"Deswegen mÈussen Unternehmen

nun nachweisen,"
397;00:08:10:00;00:08:10:00;FABstd dass keine Waldzerstörung ( ( in ihDÌ
398;00:08:10:00;00:08:10:00;FABst0ren Produkten steckt.ÿÿ1íD
399;00:08:10:00;00:08:12:24;"dass keine WaldzerstÈorung

in ihren Produkten steckt."
400;00:08:13:01;00:08:13:01;FABstB Das Gesetz gilt auchÿÿH`
401;00:08:13:01;00:08:14:08;Das Gesetz gilt auch
402;00:08:14:10;00:08:14:10;FABstd für Soja-Produkte, ( ( HolzLô
403;00:08:14:10;00:08:14:10;FABst$ und Kautschuk.ÿÿ=è*
404;00:08:14:10;00:08:16:14;"fÈur Soja-Produkte,

Holz und Kautschuk."
405;00:08:16:16;00:08:16:16;FABstd Die Produkte( ( werden nicht píÌ
406;00:08:16:16;00:08:16:16;FABst(auschal verboten.ÿÿ9<i>¢
407;00:08:16:16;00:08:19:05;"Die Produkte

werden nicht pauschal verboten."
408;00:08:19:07;00:08:19:07;FABstdAber die Hersteller müssen künftig( ( mçh
409;00:08:19:07;00:08:19:07;FABst6it Geo-Daten nachweisen,ÿÿ+üê
410;00:08:19:07;00:08:22:17;"Aber die Hersteller mÈussen kÈunftig

mit Geo-Daten nachweisen,"
411;00:08:22:19;00:08:22:19;FABstd dass für ihre Produkte keine( ( neuen W1Þ
412;00:08:22:19;00:08:22:19;FABst:aldflächen gerodet werden.ÿÿ'<&
413;00:08:22:19;00:08:26:08;"dass fÈur ihre Produkte keine

neuen WaldflÈachen gerodet werden."
414;00:08:26:10;00:08:26:10;FABstd Das Gesetz sei ein Meilenstein,( ( ´(
415;00:08:26:10;00:08:26:10;FABst2sagen Umweltschützer.ÿÿ/$D
416;00:08:26:10;00:08:29:12;"Das Gesetz sei ein Meilenstein,

sagen UmweltschÈutzer."
417;00:08:30:03;00:08:30:03;FABstd Werden( ( genug Kontrollen ù~
418;00:08:30:03;00:08:30:03;FABst durchgeführt?I0ä
419;00:08:30:03;00:08:32:10;"Werden

genug Kontrollen durchgefÈuhrt?"
420;00:08:32:12;00:08:32:12;FABstd Werden genug Ressourcen( ( auf nati©Ä
421;00:08:32:12;00:08:32:12;FABst>onaler Ebene vorhanden sein,+Á
422;00:08:32:12;00:08:35:23;"Werden genug Ressourcen

auf nationaler Ebene vorhanden sein,"
423;00:08:36:00;00:08:36:00;FABstd auch in Deutschland,( ( um KontroþH
424;00:08:36:00;00:08:36:00;FABst,llen durchzuführen?ÿÿ5È
425;00:08:36:00;00:08:38:23;"auch in Deutschland,

um Kontrollen durchzufÈuhren?"
426;00:08:39:00;00:08:39:00;FABstd Wer dieses Gesetz umgehen will,( ( ±
427;00:08:39:00;00:08:39:00;FABst.wird das schaffen.ÿÿ3²®
428;00:08:39:00;00:08:41:23;"Wer dieses Gesetz umgehen will,

wird das schaffen."
429;00:08:42:00;00:08:42:00;FABstd Daher ist es wichtig, ( ( dass È
430;00:08:42:00;00:08:42:00;FABst(starke Kontrollenÿÿ9îö
431;00:08:42:00;00:08:44:12;"Daher ist es wichtig,

dass starke Kontrollen"
432;00:08:44:14;00:08:44:14;FABstd auf Mitgliedsstaatebene( ( durÀ
433;00:08:44:14;00:08:44:14;FABst*chgeführt werden. ÿÿ7,n
434;00:08:44:14;00:08:47:05;"auf Mitgliedsstaatebene

durchgefÈuhrt werden."
435;00:08:47:07;00:08:47:07;FABst< Bei Verstößenÿÿ!OÂ
436;00:08:47:07;00:08:48:09;Bei VerstÈoûen
437;00:08:48:11;00:08:48:11;FABstd können die Behörden der( ( Mitgliedss³
438;00:08:48:11;00:08:48:11;FABst8taaten Strafen verhängen.ÿÿ)o8
439;00:08:48:11;00:08:51:24;"kÈonnen die BehÈorden der

Mitgliedsstaaten Strafen verhÈangen."
