No.;Timecode In;Timecode Out;Subtitle
508;00:10:31:04;00:10:31:04;FABst0ions League kassiert.ÿÿ1æh
509;00:10:31:04;00:10:34:06;"im Kampf um PlÈatze

in der Champions League kassiert."
510;00:10:34:15;00:10:34:15;FABst¹d Gegen Mainz verloren( ( die S±V
511;00:10:34:15;00:10:34:15;FABst$achsen mit 0:3.ÿÿ=</i>2
512;00:10:34:15;00:10:37:02;"Gegen Mainz verloren

die Sachsen mit 0:3."
513;00:10:37:10;00:10:37:10;FABstºd Die Mainzer sind( ( seit sieben Sý,
514;00:10:37:10;00:10:37:10;FABst,pielen ungeschlagenÿÿ5Ï
515;00:10:37:10;00:10:40:07;"Die Mainzer sind

seit sieben Spielen ungeschlagen"
516;00:10:40:09;00:10:40:09;FABst»Pund das zweitbeste Rückrundenteam.ÿÿ©
517;00:10:40:09;00:10:42:11;und das zweitbeste RÈuckrundenteam.
518;00:10:44:19;00:10:44:19;FABst¼D 57. Minute in Leipzig:!rÚ
519;00:10:44:19;00:10:46:08;57. Minute in Leipzig:
520;00:10:47:01;00:10:47:01;FABst½d Stach flankt,( ( Ajorque hältF
521;00:10:47:01;00:10:47:01;"FABst"" den Fuß rein,Gö"
522;00:10:47:01;00:10:49:12;"Stach flankt,

Ajorque hÈalt den Fuû rein,"
523;00:10:49:23;00:10:49:23;FABst¾Perzielt ein preisverdächtiges Tor.ÿÿ¡*
524;00:10:49:23;00:10:52:01;erzielt ein preisverdÈachtiges Tor.
525;00:10:54:07;00:10:54:07;FABst¿d Er lässt( ( den Ball beiläufin
526;00:10:54:07;00:10:54:07;FABst.g ins Tor abtropfen:ÿÿ3Ç
527;00:10:54:07;00:10:57:03;"Er lÈasst

den Ball beilÈaufig ins Tor abtropfen:"
528;00:10:57:18;00:10:57:18;FABstÀd Diese Leichtigkeit( ( ist typis¢L
529;00:10:57:18;00:10:57:18;FABst(ch für das Spiel.ÿÿ9$0
530;00:10:57:18;00:11:00:14;"Diese Leichtigkeit

ist typisch fÈur das Spiel."
531;00:11:01:22;00:11:01:22;FABstÁd Ajorque, madegassische Wurzeln,( ( im Wi 
532;00:11:01:22;00:11:01:22;FABst>nter aus Straßburg gekommen,ÿÿ#r
533;00:11:01:22;00:11:05:18;"Ajorque, madegassische Wurzeln,

im Winter aus Straûburg gekommen,"
534;00:11:05:20;00:11:05:20;FABstÂP mit seinem dritten Bundesligator.ÿÿ
535;00:11:05:20;00:11:07:20;mit seinem dritten Bundesligator.
536;00:11:08:06;00:11:08:06;FABstÃdDie Mainzer Demonstration der Stärke( ( s
537;00:11:08:06;00:11:08:06;FABst<beginnt in der 9. Minute.ÿÿ%êb
538;00:11:08:06;00:11:12:00;"Die Mainzer Demonstration der StÈarke

beginnt in der 9. Minute."
539;00:11:12:10;00:11:12:10;FABstÄd Konsequent( ( dringen sie inÑÖ
540;00:11:12:10;00:11:12:10;FABst$ den Strafraum.ÿÿ=ì4
541;00:11:12:10;00:11:14:19;"Konsequent

dringen sie in den Strafraum."
542;00:11:15:02;00:11:15:02;FABstÅd Blaswich hält gegen Barreiro,( ( gegen qº
543;00:11:15:02;00:11:15:02;FABst<Ingvartsen ist er machtlos.ÿÿ%©
544;00:11:15:02;00:11:18:24;"Blaswich hÈalt gegen Barreiro,

gegen Ingvartsen ist er machtlos."
545;00:11:19:10;00:11:19:10;FABstÆP Der Däne mit seinem 9. Saisontor.ÿÿÒ
546;00:11:19:10;00:11:21:16;Der DÈane mit seinem 9. Saisontor.
547;00:11:23:06;00:11:23:06;FABstÇd In der 67. Minute( ( sorgt Kohr fü\°
548;00:11:23:06;00:11:23:06;FABst,r den 0:3-Endstand.ÿÿ5ðð
549;00:11:23:06;00:11:26:16;"In der 67. Minute

sorgt Kohr fÈur den 0:3-Endstand."
550;00:11:28:05;00:11:28:05;FABstÈd Eigentlich als Abräumer bekannt,( ( erzielyn
551;00:11:28:05;00:11:28:05;FABst>t er hier sein 3. Saisontor.ÿÿ#Ç¦
552;00:11:28:05;00:11:32:07;"Eigentlich als AbrÈaumer bekannt,

erzielt er hier sein 3. Saisontor."
553;00:11:33:09;00:11:33:09;FABstÉd Leipzig verliert( ( das dritte Pfç¬
554;00:11:33:09;00:11:33:09;FABst.lichtspiel in Folge,ÿÿ3*
555;00:11:33:09;00:11:36:08;"Leipzig verliert

das dritte Pflichtspiel in Folge,"
556;00:11:36:10;00:11:36:10;FABstÊN bleibt zum dritten Mal ohne Tor.ÿÿGH
557;00:11:36:10;00:11:38:12;bleibt zum dritten Mal ohne Tor.
558;00:11:39:05;00:11:39:05;FABstËd Mainz dagegen feiert( ( den ersten À
559;00:11:39:05;00:11:39:05;FABst:Sieg in Leipzig überhaupt.ÿÿ't8
560;00:11:39:05;00:11:42:20;"Mainz dagegen feiert

den ersten Sieg in Leipzig Èuberhaupt."
561;00:11:45:02;00:11:45:02;FABstÌd Union Berlin( ( bleibt auf Cham×¨
562;00:11:45:02;00:11:45:02;FABst*pions-League-Kurs,?ª*
563;00:11:45:02;00:11:47:21;"Union Berlin

bleibt auf Champions-League-Kurs,"
564;00:11:47:23;00:11:47:23;FABstÍPsiegt 3:0 gegen den VfB Stuttgart.j
565;00:11:47:23;00:11:50:01;siegt 3:0 gegen den VfB Stuttgart.
566;00:11:50:09;00:11:50:09;FABstÎd Die Gäste in der ersten Hälfte( ( £n
567;00:11:50:09;00:11:50:09;FABst*das bessere Team,ÿÿ7éÌ
568;00:11:50:09;00:11:53:09;"Die GÈaste in der ersten HÈalfte

das bessere Team,"
569;00:11:53:11;00:11:53:11;FABstÏd das Tor von Perea zählte( ( wegen HanAb
570;00:11:53:11;00:11:53:11;FABst4dspiels zu Recht nicht.ÿÿ-±<
571;00:11:53:11;00:11:56:24;"das Tor von Perea zÈahlte

wegen Handspiels zu Recht nicht."
572;00:12:06:12;00:12:06:12;FABstÐd Stuttgarts Trainer Labbadia( ( R
573;00:12:06:12;00:12:06:12;"FABst& verzweifelte,ÿÿ;â8"
574;00:12:06:12;00:12:09:08;"Stuttgarts Trainer Labbadia

verzweifelte,"
575;00:12:09:19;00:12:09:19;FABstÑd denn Union( ( kam stärker a_`
576;00:12:09:19;00:12:09:19;"FABst""us der Kabine.ÿÿ?</i>"
577;00:12:09:19;00:12:12:06;"denn Union

kam stÈarker aus der Kabine."
578;00:12:13:23;00:12:13:23;FABstÒVRoussillon bediente Becker - das 1:0.ÿÿ
579;00:12:13:23;00:12:16:07;Roussillon bediente Becker - das 1:0.
580;00:12:20:14;00:12:20:14;FABstÓd Becker leitete auch( ( das 2:0 Íj
581;00:12:20:14;00:12:20:14;"FABst&von Behrens ein.ÿÿ;F"
582;00:12:20:14;00:12:23:21;"Becker leitete auch

das 2:0 von Behrens ein."
583;00:12:25:17;00:12:25:17;FABstÔd Die VfB-Abwehr( ( nicht koníÂ
584;00:12:25:17;00:12:25:17;"FABst""sequent genug.ÿÿ?í"
585;00:12:25:17;00:12:28:00;"Die VfB-Abwehr

nicht konsequent genug."
586;00:12:32:16;00:12:32:16;"FABstÕd Die Köpenicker legten eins drauf ( ( das ;x"
587;00:12:32:16;00:12:32:16;FABstF3:0, ein Eigentor von Haraguchi.ÿÿý¬
588;00:12:32:16;00:12:37:20;"Die KÈopenicker legten eins drauf Ð

das 3:0, ein Eigentor von Haraguchi."
589;00:12:40:08;00:12:40:08;FABstÖN Union gewinnt am Ende verdient.ÿÿRB
590;00:12:40:08;00:12:42:15;Union gewinnt am Ende verdient.
591;00:12:45:12;00:12:45:12;FABst×F Die weiteren Ergebnisse:ÿÿ
592;00:12:45:12;00:12:47:02;Die weiteren Ergebnisse:
593;00:12:55:03;00:12:55:03;FABstØd In der Partie München-Dortmund( ( steht3~
594;00:12:55:03;00:12:55:03;FABst8 es kurz vor Schluss 4:1.ÿÿ)çr
595;00:12:55:03;00:12:58:21;"In der Partie MÈunchen-Dortmund

steht es kurz vor Schluss 4:1."
596;00:13:26:24;00:13:26:24;FABstÙ> Die Lottozahlen:ÿÿ7è
597;00:13:26:24;00:13:28:01;Die Lottozahlen:
598;00:13:48:19;00:13:48:19;FABstÚd Die Wettervorhersage für morgen,( ( |Ö
599;00:13:48:19;00:13:48:19;FABst2Sonntag, den 2. April:ÿÿ/½`
600;00:13:48:19;00:13:52:12;"Die Wettervorhersage fÈur morgen,

Sonntag, den 2. April:"
601;00:13:54:13;00:13:54:13;FABstÛd Ein Hoch über Skandinavien( ( lenkt kaXÌ
602;00:13:54:13;00:13:54:13;FABst>lte und trockene Luft heran.ÿÿ#:
603;00:13:54:13;00:13:58:05;"Ein Hoch Èuber Skandinavien

lenkt kalte und trockene Luft heran."
604;00:13:58:07;00:13:58:07;FABstÜd Es wird von Norden( ( zunehò8
605;00:13:58:07;00:13:58:07;FABst mend sonnig. ÿÿA²ì
606;00:13:58:07;00:14:00:10;"Es wird von Norden

zunehmend sonnig."
607;00:14:00:16;00:14:00:16;FABstÝd Dort klart es heute Nacht( ( </u>j
608;00:14:00:16;00:14:00:16;"FABst&vielerorts auf.ÿÿ;"
609;00:14:00:16;00:14:03:02;"Dort klart es heute Nacht

vielerorts auf."
610;00:14:03:04;00:14:03:04;FABstÞVSonst teils länger anhaltender Regen.ÿÿÝl
611;00:14:03:04;00:14:05:10;Sonst teils lÈanger anhaltender Regen.
612;00:14:05:13;00:14:05:13;FABstßd Für einige Berglagen( ( gelten kb
613;00:14:05:13;00:14:05:13;FABst*Unwetterwarnungen.ÿÿ7Ö
614;00:14:05:13;00:14:08:07;"FÈur einige Berglagen

gelten Unwetterwarnungen."
615;00:14:09:02;00:14:09:02;FABstàd Morgen im Norden oft Sonnenschein( ( £ò
616;00:14:09:02;00:14:09:02;FABst2 und lockere Wolken.ÿÿ/Ì@
617;00:14:09:02;00:14:12:08;"Morgen im Norden oft Sonnenschein

und lockere Wolken."
618;00:14:12:16;00:14:12:16;FABstád Sonst verbreitet Regen,( ( im östlUr
619;00:14:12:16;00:14:12:16;FABst2ichen Bergland Schnee.ÿÿ/´®
620;00:14:12:16;00:14:15:22;"Sonst verbreitet Regen,

im Èostlichen Bergland Schnee."
621;00:14:16:06;00:14:16:06;FABstâd Später zieht sich der Regen( ( iKX
622;00:14:16:06;00:14:16:06;FABst,n den Süden zurück.ÿÿ5²\
623;00:14:16:06;00:14:19:05;"SpÈater zieht sich der Regen

in den SÈuden zurÈuck."
624;00:14:19:15;00:14:19:15;FABstãd Im Westen und Teilen der Mitte( ( komÕF
625;00:14:19:15;00:14:19:15;FABst2mt die Sonne zum Zuge.ÿÿ/¹Ø
626;00:14:19:15;00:14:22:23;"Im Westen und Teilen der Mitte

kommt die Sonne zum Zuge."
627;00:14:32:12;00:14:32:12;FABstäd Am Montag im Osten( ( und Südenú
628;00:14:32:12;00:14:32:12;FABst* teilweise wolkig.ÿÿ7¶X
629;00:14:32:12;00:14:35:07;"Am Montag im Osten

und SÈuden teilweise wolkig."
630;00:14:35:09;00:14:35:09;FABståd An den Alpen Schneeschauer,( ( sonstð(
631;00:14:35:09;00:14:35:09;FABst6 überwiegend freundlich.ÿÿ+$º
632;00:14:35:09;00:14:38:21;"An den Alpen Schneeschauer,

sonst Èuberwiegend freundlich."
633;00:14:38:23;00:14:38:23;FABstæd In den folgenden Tagen( ( in vielenÌ
634;00:14:38:23;00:14:38:23;FABst2 Regionen Sonnenscheinÿÿ/îü
635;00:14:38:23;00:14:42:03;"In den folgenden Tagen

in vielen Regionen Sonnenschein"
636;00:14:42:05;00:14:42:05;FABstçd und meist trocken,( ( es bÛ°
637;00:14:42:05;00:14:42:05;FABstleibt kühl. ÿÿC{ì
638;00:14:42:05;00:14:44:05;"und meist trocken,

es bleibt kÈuhl."
639;00:14:46:13;00:14:46:13;FABstèdGegen 23.15 Uhr schaut Ingo Zamperoni( ( R
640;00:14:46:13;00:14:46:13;FABst8 in den tagesthemenÿÿ)Ï>
641;00:14:46:13;00:14:50:01;"Gegen 23.15 Uhr schaut Ingo Zamperoni

in den tagesthemen"
642;00:14:50:03;00:14:50:03;FABstéN auf die Heizungspläne der Ampel.ÿÿ½
643;00:14:50:03;00:14:52:10;auf die HeizungsplÈane der Ampel.
644;00:14:52:24;00:14:52:24;FABstêd Und auf Fischer( ( aus dem Senãþ
645;00:14:52:24;00:14:52:24;FABst$egal und Büsum,ÿÿ=}
646;00:14:52:24;00:14:56:18;"Und auf Fischer

aus dem Senegal und BÈusum,"
647;00:14:57:07;00:14:57:07;FABstëd die gemeinsam( ( den KlimawaýÊ
648;00:14:57:07;00:14:57:07;"FABst&ndel erforschen.ÿÿ;â"
649;00:14:57:07;00:14:59:23;"die gemeinsam

den Klimawandel erforschen."
650;00:15:01:17;00:15:01:17;FABstìH Ihnen einen schönen Abend.ÿÿÐ
651;00:15:01:17;00:15:03:08;Ihnen einen schÈonen Abend.
652;00:15:03:14;00:15:03:14;FABstíLCopyright Untertitel: NDR 2023ÿÿp>
653;00:15:03:14;00:15:05:13;Copyright Untertitel: NDR 2023
