No.;Timecode In;Timecode Out;Subtitle
1144;00:25:08:13;00:25:08:13;FABst¦H Kommen wir zu einem Beruf,ÿÿuÖ
1145;00:25:08:13;00:25:10:11;Kommen wir zu einem Beruf,
1146;00:25:10:13;00:25:10:13;FABst§dder bald etwas für Museumsgalerien( ( /Î
1147;00:25:10:13;00:25:10:13;FABst. sein könnte.ÿÿ3cÄ
1148;00:25:10:13;00:25:13:16;"der bald etwas fÈur Museumsgalerien

sein kÈonnte."
1149;00:25:13:18;00:25:13:18;FABst¨TNicht nur als romantisches Gemälde.ÿÿ¼|
1150;00:25:13:18;00:25:16:07;Nicht nur als romantisches GemÈalde.
1151;00:25:16:09;00:25:16:09;FABst©NSchäfer gibt es nur noch wenige,ÿÿ±¢
1152;00:25:16:09;00:25:18:17;SchÈafer gibt es nur noch wenige,
1153;00:25:18:19;00:25:18:19;FABstªddie mit ihrer Herde unterwegs sind( ( ð
1154;00:25:18:19;00:25:18:19;FABst<und von Ort zu Ort wandern.ÿÿ%
1155;00:25:18:19;00:25:22:22;"die mit ihrer Herde unterwegs sind

und von Ort zu Ort wandern."
1156;00:25:22:24;00:25:22:24;FABst«d In Deutschland keine 1000 mehr.( ( Eine³>
1157;00:25:22:24;00:25:22:24;FABst< Tradition droht zu enden. ÿÿ%¢ª
1158;00:25:22:24;00:25:27:10;"In Deutschland keine 1000 mehr.

Eine Tradition droht zu enden."
1159;00:25:28:02;00:25:28:02;FABst¬d Vor drei Jahren nahm die UNESCO( ( 6
1160;00:25:28:02;00:25:28:02;FABst4die süddeutsche Wander-ÿÿ-lÖ
1161;00:25:28:02;00:25:31:23;"Vor drei Jahren nahm die UNESCO

die sÈuddeutsche Wander-"
1162;00:25:32:00;00:25:32:00;FABst­dund Hüteschäferei in das Verzeichnis( (
1163;00:25:32:00;00:25:32:00;FABstJdes immateriellen Kulturerbes auf.ÿÿ
1164;00:25:32:00;00:25:36:20;"und HÈuteschÈaferei in das Verzeichnis

des immateriellen Kulturerbes auf."
1165;00:25:36:24;00:25:36:24;FABst®d Jenni Rieger war unterwegs( ( in der¬
1166;00:25:36:24;00:25:36:24;FABst2 Nähe von Baden-Baden.ÿÿ/
1167;00:25:36:24;00:25:40:18;"Jenni Rieger war unterwegs

in der NÈahe von Baden-Baden."
1168;00:25:40:20;00:25:40:20;FABst¯d Sie hat erlebt,( ( dass es um ´Ú
1169;00:25:40:20;00:25:40:20;FABst*harte Arbeit geht.ÿÿ7</u>Ð
1170;00:25:40:20;00:25:44:20;"Sie hat erlebt,

dass es um harte Arbeit geht."
1171;00:25:49:06;00:25:49:06;FABst°d Unter einem dieser Bäume,( ( unw¸
1172;00:25:49:06;00:25:49:06;"FABst.eit von Baden-Baden,;ãò"
1173;00:25:49:06;00:25:52:14;"Unter einem dieser BÈaume,

unweit von Baden-Baden,"
1174;00:25:52:16;00:25:52:16;FABst±d steht Ute Svensson ( ( mit den Hän|æ
1175;00:25:52:16;00:25:52:16;FABst0den voller Schafskot.9â
1176;00:25:52:16;00:25:56:13;"steht Ute Svensson Ð

mit den HÈanden voller Schafskot."
1177;00:25:57:03;00:25:57:03;FABst²d Den schmiert sie an die Stämme ( ( Y
1178;00:25:57:03;00:25:57:03;FABst.damit ihre Schafe,ÿÿ3
1179;00:25:57:03;00:26:00:08;"Den schmiert sie an die StÈamme Ð

damit ihre Schafe,"
1180;00:26:00:10;00:26:00:10;FABst³d die später hier weiden sollen,( ( nicT
1181;00:26:00:10;00:26:00:10;FABst4ht die Rinde abfressen.ÿÿ-£<i>
1182;00:26:00:10;00:26:04:03;"die spÈater hier weiden sollen,

nicht die Rinde abfressen."
1183;00:26:04:08;00:26:04:08;FABst´> Das gehört dazu.ÿÿ|
1184;00:26:04:08;00:26:05:16;Das gehÈort dazu.
1185;00:26:05:18;00:26:05:18;FABstµd Man kann sich nicht( ( nur die £p
1186;00:26:05:18;00:26:05:18;FABst,Sahne runterpicken.ÿÿ5»à
1187;00:26:05:18;00:26:08:23;"Man kann sich nicht

nur die Sahne runterpicken."
1188;00:26:09:12;00:26:09:12;FABst¶d Auf den ersten Blick( ( erscheinÄb
1189;00:26:09:12;00:26:09:12;FABst*t es so idyllisch:ÿÿ7ñV
1190;00:26:09:12;00:26:12:17;"Auf den ersten Blick

erscheint es so idyllisch:"
1191;00:26:12:19;00:26:12:19;FABst·d Ein Leben in der Natur,( ( mit GänsIv
1192;00:26:12:19;00:26:12:19;FABst4en, Hunden und Schafen.ÿÿ-Ê²
1193;00:26:12:19;00:26:16:07;"Ein Leben in der Natur,

mit GÈansen, Hunden und Schafen."
1194;00:26:16:09;00:26:16:09;FABst¸J Es ist aber Schwerstarbeit.ÿÿq(
1195;00:26:16:09;00:26:18:09;Es ist aber Schwerstarbeit.
1196;00:26:18:11;00:26:18:11;FABst¹d Heute sollen Schafböcke ( ( zur He'0
1197;00:26:18:11;00:26:18:11;FABst.rde gebracht werden,ÿÿ3¬ø
1198;00:26:18:11;00:26:21:14;"Heute sollen SchafbÈocke

zur Herde gebracht werden,"
1199;00:26:21:16;00:26:21:16;"FABstºJ um für Nachwuchs zu sorgen.ÿÿ
<u>"
1200;00:26:21:16;00:26:23:19;um fÈur Nachwuchs zu sorgen.
1201;00:26:24:17;00:26:24:17;FABst»dDamit da eine anständige Bock-Zahl( ( `Z
1202;00:26:24:17;00:26:24:17;FABst2 bei der Herde ist`/«°
1203;00:26:24:17;00:26:28:04;"Damit da eine anstÈandige Bock-Zahl

bei der Herde ist"
1204;00:26:28:06;00:26:28:06;FABst¼d und wir in fünf Monaten( ( wie%2
1205;00:26:28:06;00:26:28:06;FABst*der Lämmer haben. `7$
1206;00:26:28:06;00:26:30:22;"und wir in fÈunf Monaten

wieder LÈammer haben."
1207;00:26:30:24;00:26:30:24;FABst½F An ihrer Seite: Joshua.ÿÿ
1208;00:26:30:24;00:26:32:18;An ihrer Seite: Joshua.
1209;00:26:32:22;00:26:32:22;FABst¾d Er hat bei Ute Svensson gelernt,( ( ist æÔ
1210;00:26:32:22;00:26:32:22;FABst:inzwischen selbst Schäfer ÿÿ'D
1211;00:26:32:22;00:26:36:22;"Er hat bei Ute Svensson gelernt,

ist inzwischen selbst SchÈafer"
1212;00:26:36:24;00:26:36:24;FABst¿d und hilft immer wieder aus,( ( Ì
1213;00:26:36:24;00:26:36:24;"FABst"" wie heute.ÿÿ?ìl"
1214;00:26:36:24;00:26:39:17;"und hilft immer wieder aus,

wie heute."
1215;00:26:39:21;00:26:39:21;FABstÀD Du musst wieder raus.ÿÿ4ü
1216;00:26:39:21;00:26:41:14;Du musst wieder raus.
1217;00:26:42:18;00:26:42:18;FABstÁd Denn manchmal( ( braucht es me
1218;00:26:42:18;00:26:42:18;FABst*hr als zwei Hände.ÿÿ7X²
1219;00:26:42:18;00:26:45:24;"Denn manchmal

braucht es mehr als zwei HÈande."
1220;00:26:46:01;00:26:46:01;FABstÂH Du darfst drinnen bleiben.ÿÿn
1221;00:26:46:01;00:26:48:05;Du darfst drinnen bleiben.
1222;00:26:48:09;00:26:48:09;FABstÃd Vor allem, wenn die Böcke( ( nicht so <
1223;00:26:48:09;00:26:48:09;FABst4wollen, wie sie sollen.ÿÿ-Ö6
1224;00:26:48:09;00:26:52:03;"Vor allem, wenn die BÈocke

nicht so wollen, wie sie sollen."
1225;00:26:52:05;00:26:52:05;FABstÄdAber irgendwann sind alle im Hänger( ( und >
1226;00:26:52:05;00:26:52:05;FABstDUte Svensson rinnt der Schweiß.ÿÿf
1227;00:26:52:05;00:26:56:07;"Aber irgendwann sind alle im HÈanger

und Ute Svensson rinnt der Schweiû."
1228;00:26:56:09;00:26:56:09;FABstÅd Die körperliche Anstrengung( ( 2R
1229;00:26:56:09;00:26:56:09;FABst(ist schon enormÿÿ9D
1230;00:26:56:09;00:26:59:18;"Die kÈorperliche Anstrengung

ist schon enorm"
1231;00:26:59:22;00:26:59:22;FABstÆF und die Belastung auch.ÿÿÒ
1232;00:26:59:22;00:27:01:20;und die Belastung auch.
1233;00:27:01:24;00:27:01:24;FABstÇTDa muss man das Beste draus machen.ÿÿB
1234;00:27:01:24;00:27:04:20;Da muss man das Beste draus machen.
1235;00:27:05:10;00:27:05:10;FABstÈd Seit 30 Jahren( ( ist Ute Sve¦
1236;00:27:05:10;00:27:05:10;"FABst&nsson Schäferin.ÿÿ;[¨"
1237;00:27:05:10;00:27:08:10;"Seit 30 Jahren

ist Ute Svensson SchÈaferin."
1238;00:27:08:12;00:27:08:12;FABstÉd Ihr Großvater( ( wanderte einst b
1239;00:27:08:12;00:27:08:12;FABst(aus Schweden aus,ÿÿ9õ
1240;00:27:08:12;00:27:11:12;"Ihr Groûvater

wanderte einst aus Schweden aus,"
1241;00:27:11:14;00:27:11:14;FABstÊd um sich in Norddeutschland ( ( als ÄÆ
1242;00:27:11:14;00:27:11:14;FABst4Hütejunge zu verdingen.ÿÿ-m¨
1243;00:27:11:14;00:27:14:18;"um sich in Norddeutschland

als HÈutejunge zu verdingen."
1244;00:27:14:20;00:27:14:20;FABstËN Ihr Vater war Schäfer im Elsass.ÿÿÑ
1245;00:27:14:20;00:27:16:17;Ihr Vater war SchÈafer im Elsass.
1246;00:27:16:19;00:27:16:19;FABstÌd Sie selbst hat sich( ( in Baden-Ba¤
1247;00:27:16:19;00:27:16:19;FABst,den niedergelassen.ÿÿ5<i>$
1248;00:27:16:19;00:27:19:17;"Sie selbst hat sich

in Baden-Baden niedergelassen."
1249;00:27:19:19;00:27:19:19;FABstÍd Mit ihrem Mann( ( und ihrerçx
1250;00:27:19:19;00:27:19:19;"FABst"" bunten Herde,ÿÿ?ø"
1251;00:27:19:19;00:27:22:03;"Mit ihrem Mann

und ihrer bunten Herde,"
1252;00:27:22:05;00:27:22:05;FABstÎF wie die 53-Jährige sagt.ÿÿ³è
1253;00:27:22:05;00:27:23:24;wie die 53-JÈahrige sagt.
1254;00:27:24:03;00:27:24:03;FABstÏd Unser Vorgänger war Tuchmacher,( ( derQà
