Timecode In,Timecode Out,Subtitle
00:06:23:04,00:06:26:21,"Forderungen seiner Partei, das Gesetz zu ueberarbeiten."
00:06:27:04,00:06:31:16,"Es waere schlecht fuer die Politik, es waere schlecht fuer die Regierung,"
00:06:31:20,00:06:34:03,ein schlechtes Gesetz zu machen.
00:06:34:07,00:06:38:09,"Der CDU-Vorsitzende Merz, selbst mit der Union im Umfragetief,"
00:06:38:13,00:06:40:16,gibt den Medien eine Mitschuld:
00:06:40:19,00:06:43:07,"""Mit jeder gegenderten Nachrichtensendung"","
00:06:43:09,00:06:47:07,"schreibt er auf Twitter, ""gehen ein paar Hundert Stimmen zur AfD."""
00:06:47:11,00:06:51:01,"Es geht nicht um die Sorgen der Menschen, nicht um Inflation,"
00:06:51:03,00:06:55:06,"nicht um die Gesundheitspolitik, das Chaos bei Heizungen."
00:06:56:09,00:07:00:18,"Es wird der Eindruck erweckt, dass Randthemen eine Rolle spielen."
00:07:01:05,00:07:04:12,"Dass es bislang nicht gut laeuft mit dem Heizungsgesetz,"
00:07:04:15,00:07:07:01,darueber ist sich die Regierung einig.
00:07:07:05,00:07:10:05,"Man will sich auf die Verhandlungen konzentrieren,"
00:07:10:09,00:07:14:07,am besten vor der Sommerpause soll ein neuer Entwurf fertig sein.
00:07:14:11,00:07:18:09,Noch einen Fehltritt will man sich in der Ampel nicht leisten.
00:07:19:09,00:07:22:06,Angesichts der Spannungen am Indo-Pazifik
00:07:22:10,00:07:26:19,will sich Deutschland dort verstaerkt fuer Frieden und Sicherheit einsetzen.
00:07:26:21,00:07:30:02,Das kuendigte Verteidigungsminister Pistorius an:
00:07:30:06,00:07:33:02,"Bei der wichtigsten Sicherheitskonferenz Asiens,"
00:07:33:04,00:07:35:16,dem Shangri-La-Dialog in Singapur.
00:07:35:20,00:07:37:16,Konflikte im Indo-Pazifik-Raum
00:07:37:18,00:07:40:12,koennen wichtige Handelsrouten beeintraechtigen.
00:07:40:14,00:07:41:16,So ist die Region
00:07:41:18,00:07:45:04,im Fokus der deutschen Aussen- und Sicherheitspolitik.
00:07:46:12,00:07:50:10,"Verteidigungsminister, Regierungschefs, Sicherheitsexperten."
00:07:50:12,00:07:54:07,Der Shangri-La Dialog in Singapur ist hochkaraetig besetzt.
00:07:54:11,00:07:55:14,Aus Deutschland
00:07:55:17,00:07:58:10,ist Verteidigungsminister Pistorius angereist.
00:07:58:14,00:08:00:15,Seine Praesenz setzt ein Zeichen.
00:08:00:17,00:08:04:11,Die Indo-Pazifik-Region - fuer Deutschland immer wichtiger.
00:08:04:15,00:08:06:11,"Wir wollen dafuer sorgen,"
00:08:07:23,00:08:11:15,dass wir unsere Risiken und Abhaengigkeiten vermindern.
00:08:12:11,00:08:13:18,Stichwort China.
00:08:13:22,00:08:17:15,Wir wollen nicht alle unsere Eier im gleichen Korb haben:
00:08:17:19,00:08:21:07,"Die Risiken verteilen, Abhaengigkeiten reduzieren."
00:08:21:11,00:08:24:20,Deutschland auf der Suche nach neuen Partnern.
00:08:24:22,00:08:26:13,Als grosse Wirtschafsnation
00:08:26:16,00:08:29:21,hat es ein Interesse an sicheren See- und Handelsrouten.
00:08:29:23,00:08:31:21,"Als Zeichen war vor 1,5 Jahren"
00:08:32:00,00:08:34:18,die Fregatte Bayern in der Region unterwegs.
00:08:34:22,00:08:39:03,"Im kommenden Jahr sollen zwei Schiffe der deutschen Marine vor Ort sein,"
00:08:39:05,00:08:42:03,zur ÈUberwachung von Sanktionen gegen Nordkorea.
00:08:42:05,00:08:46:04,"Die Spannungen in der Region, besonders zwischen den USA und China,"
00:08:46:06,00:08:49:03,beobachten Sicherheitsexperten mit Sorge.
00:08:53:04,00:08:56:12,"Mit der Anzahl der Schiffe, die dort aufeinandertreffen"
00:08:56:14,00:08:59:12,und Chinas Einwaenden gegen die US-Praesenz dort.
00:08:59:16,00:09:02:01,Wir haben das Risiko eines Zwischenfalls
00:09:02:03,00:09:03:19,auf See oder in der Luft.
00:09:03:23,00:09:06:15,Und damit das Risiko einer Eskalation.
00:09:07:19,00:09:10:03,Ein Beispiel dafuer gab es heute.
00:09:10:11,00:09:12:09,In der Taiwanstrasse kamen sich
00:09:12:11,00:09:16:22,ein chinesisches und amerikanisches Marineschiff gefaehrlich nah.
00:09:18:05,00:09:22:02,Fuer die USA eine Provokation von chinesischer Seite.
00:09:22:06,00:09:27:01,"Diese entgegnet, die USA sollten aus den Gewaesser nahe China abziehen."
00:09:28:06,00:09:32:08,Die Ukraine wurde in der Nacht erneut von Russland beschossen.
00:09:32:12,00:09:36:03,Beim Angriff auf ein Wohnviertel in einem Vorort von Dnipro
00:09:36:06,00:09:39:17,kam nach Angaben der Behoerden ein Maedchen (2) ums Leben.
00:09:39:19,00:09:42:10,"Mindestens 22 Menschen wurden verletzt,"
00:09:42:13,00:09:44:03,unter ihnen fuenf Kinder.
00:09:44:05,00:09:47:18,Die Rakete schlug im Hof neben dem Wohnhaus ein.
00:09:49:12,00:09:52:19,Das Zugunglueck mit ueber 275 Toten in Indien
00:09:53:09,00:09:57:20,wurde wohl durch einen Fehler im Signalsystem verursacht worden.
00:09:58:22,00:10:00:18,So der zustaendige Minister.
00:10:00:22,00:10:04:17,Ein Passagierzug sei auf ein falsches Gleis geleitet worden.
00:10:04:21,00:10:07:13,An der Unfallstelle im Bundesstaat Odisha
00:10:07:17,00:10:09:24,sind Hunderte Helfer im Einsatz.
00:10:10:03,00:10:14:03,Die Raeumungsarbeiten sollen bis Mittwoch abgeschlossen werden.
00:10:16:06,00:10:19:18,Beim Brand einer Fluechtlings- Unterkunft in Thueringen
00:10:19:22,00:10:21:14,kam ein Mensch ums Leben.
00:10:21:18,00:10:23:10,"Eine Obduktion soll klaeren,"
00:10:23:14,00:10:26:15,ob es sich um einen vermissten 9-Jaehrigen handelt.
00:10:26:19,00:10:28:23,Elf weitere Menschen wurden verletzt.
00:10:29:00,00:10:33:00,Das Feuer entstand um 5 Uhr morgens in einer Gemeinschaftsunterkunft
00:10:33:02,00:10:34:03,in Apolda.
00:10:35:16,00:10:37:18,Die Brandursache ist unklar.
00:10:38:07,00:10:42:24,In dem Gebaeude waren laut Behoerden etwa 300 Menschen untergebracht.
00:10:43:18,00:10:48:02,Bei der Ironman-EM in Hamburg gab es einen toedlichen Unfall.
00:10:49:02,00:10:50:06,Laut Polizei
00:10:50:12,00:10:54:14,stiess ein Begleitmotorrad mit einem Radrennfahrer zusammen
00:10:54:20,00:10:58:01,Der Fahrer (70) des Motorrads kam ums Leben.
00:10:58:07,00:11:01:24,Die Siegerehrung und die EM-Party wurden abgesagt.
00:11:04:12,00:11:08:13,"Die Triathleten befinden sich auf der Radstrecke im Sueden Hamburgs,"
00:11:08:15,00:11:11:02,als sich ein tragischer Unfall ereignet.
00:11:11:04,00:11:14:00,Ein Kameramotorrad begleitet die Profis.
00:11:14:04,00:11:16:20,Es faehrt auf der falschen Seite der Fahrbahn
00:11:16:23,00:11:19:10,und kollidiert mit einem Amateursportler.
00:11:19:14,00:11:22:13,"Der Motorradfahrer erliegt seinen Verletzungen,"
00:11:22:17,00:11:25:19,sein Kameramann und der Sportler sind im Krankenhaus.
00:11:25:21,00:11:29:10,Im Rennen kam es immer wieder zu gefaehrlichen Situationen.
