Timecode In,Timecode Out,Subtitle
00:06:36:12,00:06:40:13,"Noch sei genug Personal da, um die 400.000 Sozialwohnungen"
00:06:40:15,00:06:43:11,"bis 2026 zu bauen, sagt die Gewerkschaft."
00:06:43:13,00:06:45:21,Es fehle nur das Geld dafuer.
00:06:48:18,00:06:51:21,Zugeschaltet ist mir jetzt Bauministerin Klara Geywitz.
00:06:51:23,00:06:54:09,Guten Abend.Guten Abend.
00:06:54:11,00:06:57:18,"Im Beitrag haben wir gesehen, dass sich ein Paar"
00:06:57:20,00:07:01:09,mit mittlerem Einkommen kein Eigenheim leisten kann.
00:07:01:11,00:07:03:15,Was raten Sie ihnen?
00:07:04:11,00:07:07:04,"Das sind Sachen, die passieren,"
00:07:07:06,00:07:10:12,weil die Zinsen extrem nach oben gegangen sind.
00:07:10:14,00:07:13:18,Wir sehen momentan eine kleine positive Entwicklung
00:07:13:20,00:07:15:01,der Baukosten.
00:07:15:03,00:07:18:12,2022 ist aufgrund der Explosion der Gaspreise
00:07:18:14,00:07:22:02,auch in der Baubranche vieles teurer geworden.
00:07:22:18,00:07:25:20,Hier gehen Materialpreise wieder zurueck.
00:07:25:22,00:07:30:20,Wir starten ab 1.6. eine Foerderung fuer Familien im Eigentumserwerb.
00:07:31:06,00:07:34:24,"Wir haben auch eine Foerderung fuer Genossenschaften,"
00:07:35:01,00:07:37:16,"auch, wenn man Anteile erwerben will."
00:07:38:05,00:07:42:12,Jetzt starten wir ein Programm: 500 Mio. fuer junges Wohnen.
00:07:42:14,00:07:46:05,Dort werden Azubi- und Studentenwohnheime gebaut.
00:07:46:07,00:07:50:06,Es ist das groesste Programm seit der Wiedervereinigung.
00:07:50:08,00:07:54:01,Das Paar kann sich demnaechst das Eigenheim wieder leisten?
00:07:54:19,00:07:59:03,"Wichtig ist, dass wir uns anschauen, was der Experte sagt."
00:07:59:14,00:08:03:24,"Es wird nicht nur darum gehen, dass wir die Foerderung staerken."
00:08:04:15,00:08:09:17,"Wir muessen durch Digitalisierung und seriellen Wohnungsbau,"
00:08:09:19,00:08:13:00,das ist bei Einfamilienhaeusern schon gross.
00:08:14:07,00:08:16:23,Dadurch wird es pro Stueckzahl billiger.
00:08:17:00,00:08:20:05,"Christian Lindner ist in Gespraechen mit den Laendern,"
00:08:20:07,00:08:23:02,zur Flexibilisierung der Grunderwerbssteuer.
00:08:23:04,00:08:26:07,Die wurde zuletzt stark nach oben gesetzt.
00:08:26:17,00:08:31:11,"Das sind zusaetzliche Belastungen fuer Familien, die bauen wollen."
00:08:31:21,00:08:33:19,Da gibt es den Vorschlag:
