Timecode In,Timecode Out,Subtitle,Program,Date
00:09:16:24,00:09:20:04,Das soll bis 2030 deutlich besser werden.,tagesthemen,15.03.23
00:09:23:07,00:09:26:02,Auch das ist eine grosse Herausforderung.,tagesthemen,15.03.23
00:09:26:22,00:09:29:18,Aber es wurde vieles auf den Weg gebracht.,tagesthemen,15.03.23
00:09:29:20,00:09:31:01,Auch gesetzlich.,tagesthemen,15.03.23
00:09:34:06,00:09:38:17,Windkraftanlagen und Fotovoltaik soll vorangetrieben werden.,tagesthemen,15.03.23
00:09:43:07,00:09:45:06,Das ist die Voraussetzung.,tagesthemen,15.03.23
00:09:45:08,00:09:47:22,Das wird auch bei Flaute klappen?,tagesthemen,15.03.23
00:09:49:09,00:09:51:09,Da bin ich zuversichtlich.,tagesthemen,15.03.23
00:09:52:04,00:09:55:18,Die Elektrifizierung der Stromerzeugung hat geklappt.,tagesthemen,15.03.23
00:09:57:12,00:09:59:05,Merkel sagte noch 2005:,tagesthemen,15.03.23
00:09:59:07,00:10:02:22,Mehr als 20 Prozent Erneuerbare im Strom sei nicht moeglich.,tagesthemen,15.03.23
00:10:03:02,00:10:05:19,Frueher sprachen Berater von 5 Prozent.,tagesthemen,15.03.23
00:10:06:06,00:10:08:20,"Aber wir sind bei 45, fast 50 Prozent.",tagesthemen,15.03.23
00:10:08:22,00:10:10:11,Es hat geklappt.,tagesthemen,15.03.23
00:10:12:20,00:10:14:01,Vielen Dank.,tagesthemen,15.03.23
00:10:18:03,00:10:21:13,Es steht Aussage gegen Aussage:,tagesthemen,15.03.23
00:10:21:15,00:10:24:18,Was geschah gestern im internationalen Luftraum,tagesthemen,15.03.23
00:10:24:20,00:10:26:10,ueber dem Schwarzen Meer?,tagesthemen,15.03.23
00:10:26:12,00:10:28:03,"Unzweifelhaft ist nur,",tagesthemen,15.03.23
00:10:28:07,00:10:31:07,dass eine US-Drohne dieses Typs abgestuerzt ist.,tagesthemen,15.03.23
00:10:31:09,00:10:33:20,"Laut US-Luftwaffe erzwungenermassen,",tagesthemen,15.03.23
00:10:33:24,00:10:37:09,nachdem russische Kampfjets sie abgedraengt haetten.,tagesthemen,15.03.23
00:10:37:11,00:10:41:07,"Russland dementiert vehement, den Absturz verursacht zu haben.",tagesthemen,15.03.23
00:10:41:09,00:10:44:02,"Waehrend die Aufklaerung des Vorfalls laeuft,",tagesthemen,15.03.23
00:10:44:04,00:10:45:15,verdeutlicht er dies:,tagesthemen,15.03.23
00:10:45:17,00:10:48:13,Die Spannungen zwischen Moskau und Washington,tagesthemen,15.03.23
00:10:48:17,00:10:50:24,haben sich nochmals verschaerft.,tagesthemen,15.03.23
00:10:51:01,00:10:53:06,"Das vergroessert auch die Sorge,",tagesthemen,15.03.23
00:10:53:08,00:10:57:00,dass solche Zwischenfaelle zu einer Eskalation fuehren koennen.,tagesthemen,15.03.23
00:10:57:02,00:10:58:10,Sarah Schmidt.,tagesthemen,15.03.23
00:10:59:24,00:11:02:22,Diese Simulation amerikanischer Medien,tagesthemen,15.03.23
00:11:02:24,00:11:06:06,zeigt eine Version der Geschichte des Absturzes:,tagesthemen,15.03.23
00:11:06:08,00:11:09:16,Russische Kampfjets umkreisen die amerikanische Drohne,tagesthemen,15.03.23
00:11:09:18,00:11:13:05,"mehr als 30 Minuten lang, sollen Treibstoff ablassen.",tagesthemen,15.03.23
00:11:13:07,00:11:15:14,Einer der russischen Kampfjets,tagesthemen,15.03.23
00:11:15:16,00:11:18:13,soll die amerikanische Drohne touchiert haben.,tagesthemen,15.03.23
00:11:18:15,00:11:20:16,Wegen der entstandenen Schaeden,tagesthemen,15.03.23
00:11:20:20,00:11:24:05,lassen die Amerikaner die Drohne kontrolliert abstuerzen.,tagesthemen,15.03.23
00:11:24:09,00:11:25:19,So die US-Version.,tagesthemen,15.03.23
00:11:25:21,00:11:29:06,Das Verteidigungsministerium aus Russland widerspricht:,tagesthemen,15.03.23
00:11:29:08,00:11:32:11,"Ich moechte betonen, dass die russischen Kampfflieger",tagesthemen,15.03.23
00:11:32:13,00:11:34:07,keine Waffen benutzt haben.,tagesthemen,15.03.23
