Programme,Section Title,Content Type,Speaker Name,Speaker Description,Segment Description,Date,Start Time,Duration
Tagesschau,03 Lage der Bundes-Grünen vor der Bremenwahl,Sachinhalt,Constantin Schreiber,Moderation,Bündnis 90/Die Grünen befinden sich derzeit im Umfragetief. Im letzten Deutschlandtrend lag die Partei bei 16 Prozent. Zuletzt gab es viel Kritik am Heizungsgesetz oder an vermeintlicher Vetternwirtschaft im grün geführten Bundeswirtschaftsministerium. Bildinhalt,07.05.2023,20:05:15.18,"1'43"""
Tagesschau,03 Lage der Bundes-Grünen vor der Bremenwahl,Bildinhalt,Constantin Schreiber,Moderation,"Regieraum ""Bericht aus Berlin"", Grünen-Vorsitzende Ricarda Lang zu Gast im Studio",07.05.2023,20:05:15.18,"0'22"""
Tagesschau,03 Lage der Bundes-Grünen vor der Bremenwahl,Bildinhalt,Constantin Schreiber,Moderation,Archivmaterial (06.05.2023): Bündnis 90/Die Grünen feiern in Leipzig 30. Jubiläum des Zusammenschlusses von Bündnis 90 und Die Grünen,07.05.2023,20:05:56.12,"0'07"""
Tagesschau,03 Lage der Bundes-Grünen vor der Bremenwahl,Bildinhalt,Constantin Schreiber,Moderation,"Ricarda Lang als Studiogast im ""Bericht aus Berlin""",07.05.2023,20:06:13.01,"0'05"""
Tagesschau,03 Lage der Bundes-Grünen vor der Bremenwahl,Bildinhalt,Constantin Schreiber,Moderation,Heizungsbauer bei der Arbeit,07.05.2023,20:06:18.14,"0'09"""
Tagesschau,03 Lage der Bundes-Grünen vor der Bremenwahl,Bildinhalt,Constantin Schreiber,Moderation,Archivmaterial (06.05.2023): Bündnis 90/Die Grünen feiern in Leipzig 30. Jubiläum des Zusammenschlusses von Bündnis 90 und Grüne O-Ton,07.05.2023,20:06:48.16,"0'11"""
Tagesschau,03 Lage der Bundes-Grünen vor der Bremenwahl,O-Ton,Ricarda Lang,Vorsitzende Bündnis 90/Die Grünen,"(""Glaubwürdigkeit geht, indem wir klare Regeln haben,indem wir uns auch nicht verunsichern lassen und indem wir jetzt die Fragen, die die Bürgerinnen und Bürgertatsächlich umtreiben, z. B. soziale Frage, beantworten"")",07.05.2023,20:05:37.21,"0'18"""
Tagesschau,03 Lage der Bundes-Grünen vor der Bremenwahl,O-Ton,Sabine Kropp,Politikwissenschaftlerin Freie Universität Berlin,,07.05.2023,20:06:04.12,"0'08"""
Tagesschau,03 Lage der Bundes-Grünen vor der Bremenwahl,O-Ton,"Ricarda Lang (""Die Alternative zur Veränderung ist nicht","dass alles bleibt, wie es ist. Die Alternative ist, dass","(""Die Alternative zur Veränderung ist nicht, dass alles bleibt, wie es ist. Die Alternative ist, dasses unsicherer, teurer und gefährlicher wird. Aber, wenn wir jetzt sagen, wir gehen diese Veränderung an, dasmachen wir gemeinsam, ... dann heißt das doch jetzt auch, dass wir gemeinsam Geld in die Hand nehmen,um sie [die Bürger] dabei zu unterstützen"")",07.05.2023,20:06:27.15,"0'21"""
Tagesschau,Reaktionen Wahl Bürgerschaft Bremen Mo 20:00 03,Einspieler,,,,07.05.2023,,"1'56"""
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,Sachinhalt,Julia-Niharika Sen,Moderation,"Reaktionen der Bundesparteien zum Wahlausgang der Bürgerschaftswahl in Bremen. Die SPD von Bürgermeister Andreas Bovenschulte hat nach aktueller Hochrechnung mit 30,1 Prozent einen deutlichen Sieg errungen. Die CDU landete mit 25 Prozent auf dem zweiten Platz, die mitregierenden Bündnis 90/Die Grünen mussten deutliche Verluste einstecken, die Linke blieb stabil und die FDP schaffte die Fünf-Prozent- Hürde. Bildinhalt",15.05.2023,20:04:46.11,"1'56"""
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,Bildinhalt,Julia-Niharika Sen,Moderation,Andreas Bovenschulte nimmt Gratulationen von Parteigenossen in der SPD-Parteizentrale entgegen,15.05.2023,20:04:46.11,"0'17"""
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,Bildinhalt,Julia-Niharika Sen,Moderation,Parteizentrale und Pressekonferenz Bündnis 90/Die Grünen,15.05.2023,20:05:17.04,"0'20"""
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,Bildinhalt,Julia-Niharika Sen,Moderation,"Kristina Vogt, Spitzenkandidatin Die Linke Bremen, mit Blumenstrauß auf Pressekonferenz von Die Linke 15.11.2023 09:44 Seite 8 von 36 NDR Copyright (c) 2004",15.05.2023,20:05:38.03,"0'15"""
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,Bildinhalt,Julia-Niharika Sen,Moderation,Parteizentrale und Pressekonferenz CDU,15.05.2023,20:05:54.03,"0'22"""
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,Bildinhalt,Julia-Niharika Sen,Moderation,Bundesgeschäftsstelle (Schild) und Pressekonferenz der FDP,15.05.2023,20:06:16.06,"0'17"""
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,Bildinhalt,Julia-Niharika Sen,Moderation,Skulptur und Bundeskanzleramt (Gebäude außen) O-Ton,15.05.2023,20:06:33.13,"0'09"""
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,O-Ton,Lars Klingbeil,Vorsitzender SPD,"(zum geplanten Heizungsgesetz: ""Wir wollen die soziale Förderung auf denWeg bringen, das heißt auch Förderung gestaffelt nach Einkommen. Wir werden als SPD darauf achten,dass der Mieterschutz gestärkt wird. Es kann nicht sein, dass die Kosten am Ende auf die Mieter umgelegtwerden"")",15.05.2023,20:05:03.24,"0'13"""
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,O-Ton,Omid Nouripour,Vorsitzender Bündnis 90/Die Grünen,"(""Wir sind für Sondierungsgespräche ... bereit, weil wirhoffen, dass wir weiter mitwirken können"")",15.05.2023,20:05:30.20,"0'07"""
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,O-Ton,Martin Schirdewan,Vorsitzender Die Linke,"(""Es ist ein Grund zur Freude für die gesamte Partei ... DiesesErgebnis wird uns entsprechend auch Rückenwind geben für die gesamte Partei"")",15.05.2023,20:05:45.07,"0'08"""
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,O-Ton,Friedrich Merz,Vorsitzender CDU,"(""Deshalb möchte ich auch an die SPD appellieren, jetzt auch die Chancewahrzunehmen, mit der CDU in Bremen Gespräche zu führen über eine mögliche Zusammenarbeit inBremen"")",15.05.2023,20:06:03.09,"0'12"""
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,O-Ton,Christian Lindner,Vorsitzender FDP,"(""Wir arbeiten mit fröhlicher Penetranz daran, dass Deutschlandliberaler, moderner und digitaler wird"")",15.05.2023,20:06:24.03,"0'09"""
Tagesschau,Debatte um Gebäudeenergiegesetz Do 20:00 01,Einspieler,,,,15.05.2023,,"1'50"""
Tagesschau,01 Debatte um Gebäudeenergiegesetz,O-Ton,Julia Klöckner,Fraktion CDU/CSU,"(Ich erwarte von Minister Habeck, dass er jetzt einfach mal auf dieStopptaste drückt, dass er nicht mit der Brechstange versucht, ein Gesetz durchzudrücken, was gegen jedewissenschaftliche Berechnung ist, was auch gegen die Wünsche und Bedürfnisse der Bürgerinnen undBürger ist und vor allen Dingen das überhaupt nicht technologieoffen ist)",18.05.2023,20:01:25.13,"0'19"""
Tagesschau,01 Debatte um Gebäudeenergiegesetz,O-Ton,Andreas Audretsch,stellvertretender Fraktionsvorsitzender Bündnis 90/Die Grünen,"(Im Kabinett habenwieder alle zugestimmt, und deswegen sind wir jetzt in den parlamentarischen Beratungen auch genau aufdiesem Weg. Vor dem Sommer wird es einen Beschluss über das Gebäudeenergiegesetz im DeutschenBundestag geben)",18.05.2023,20:01:57.17,"0'09"""
Tagesschau,Philipp Nimmermann wird Graichen-Nachfolger Mo 20:00 01,Einspieler,,,,18.05.2023,,"2'31"""
Tagesschau,01 Philipp Nimmermann wird Graichen-Nachfolger,Sachinhalt,Jens Riewa,Moderation,"Philipp Nimmermann wird neuer Staatssekretär im Bundeswirtschaftsministerium. Bundeswirtschaftsminister Robert Habeck lobte Nimmermann als erfahrenen Staatssekretär mit ökonomischer Expertise und viel Verwaltungserfahrung, der die Energiewende, die Wärmewende und die Transformation voranbringen werde. Derweil geht der Streit innerhalb der Regierungskoalition über das Gebäudeenergiegesetz (Heizungsgesetz) weiter. Die FDP kritisiert, der Entwurf sei nicht praxistauglich und besteht auf einer grundlegenden Überarbeitung. Bildinhalt",22.05.2023,20:00:44.17,"2'31"""
Tagesschau,01 Philipp Nimmermann wird Graichen-Nachfolger,Bildinhalt,Jens Riewa,Moderation,Archivmaterial/Fotos: Philipp Nimmermann,22.05.2023,20:00:48.06,"0'07"""
Tagesschau,01 Philipp Nimmermann wird Graichen-Nachfolger,Bildinhalt,Jens Riewa,Moderation,Robert Habeck bei Pressekonferenz,22.05.2023,20:00:55.07,"0'17"""
Tagesschau,01 Philipp Nimmermann wird Graichen-Nachfolger,Bildinhalt,Jens Riewa,Moderation,Archivmaterial: Handwerker Heizungsanlage,22.05.2023,20:01:13.05,"0'12"""
Tagesschau,01 Philipp Nimmermann wird Graichen-Nachfolger,Bildinhalt,Jens Riewa,Moderation,Grafik: geplantes Heizungsgesetz,22.05.2023,20:01:41.11,"0'14"""
Tagesschau,01 Philipp Nimmermann wird Graichen-Nachfolger,Bildinhalt,Jens Riewa,Moderation,Bundeswirtschaftsministerium (Gebäude außen) O-Ton,22.05.2023,20:01:56.02,"0'08"""
Tagesschau,01 Philipp Nimmermann wird Graichen-Nachfolger,O-Ton,Robert Habeck,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,(über PhilippNimmermann),22.05.2023,20:00:57.17,"0'15"""
Tagesschau,01 Philipp Nimmermann wird Graichen-Nachfolger,O-Ton,Bijan Djir-Sarai,Generalsekretär FDP,"(zum Gebäudeenergiegesetz: Wenn man sich ansieht, was auf demTisch liegt, das ist eine so große Baustelle, dass ich mir nicht vorstellen kann, dass wir in dieserSitzungswoche geschweige denn vor der Sommerpause ein Ergebnis erzielen können)",22.05.2023,20:01:25.23,"0'15"""
Tagesschau,01 Philipp Nimmermann wird Graichen-Nachfolger,O-Ton,Rolf Mützenich,Fraktionsvorsitzender SPD,"(Kritik an FDP: Es nervt auch die Fraktionsspitzen, von daherhoffe ich, dass in den nächsten Stunden ein Umdenken möglich ist; die FDP muss in der Lage sein, auch zubelastbaren Beratungen im Bundestag zu kommen)",22.05.2023,20:02:11.05,"0'14"""
Tagesschau,01 Philipp Nimmermann wird Graichen-Nachfolger,O-Ton,Andreas Jung,Fraktion CDU/CSU,"(Der Streit der Ampel führt zu Verunsicherungen bei den Menschen; erführt zu einer Hängepartie im Verfahren und er führt zu einem run auf Öl- und Gasheizungen, also demexakten Gegenteil, was mit der Wärmewende bezweckt ist)",22.05.2023,20:02:32.01,"0'12"""
Tagesschau,01 Philipp Nimmermann wird Graichen-Nachfolger,O-Ton,Martin Schirdewan,Vorsitzender Die Linke,"(Die Förderprogramme, die jetzt diskutiert werden, müssen nachEinkommensklassen gestaffelt sein, um soziale Gerechtigkeit walten zu lassen)",22.05.2023,20:02:44.08,"0'09"""
Tagesschau,01 Philipp Nimmermann wird Graichen-Nachfolger,O-Ton,Kirsten Girschick,Korrespondent,Aufsager,22.05.2023,20:02:53.15,"0'22"""
Tagesschau,Streit um Heizungsgesetz Di 20:00 01,Einspieler,,,,22.05.2023,,"2'18"""
Tagesschau,01 Streit um Heizungsgesetz,Sachinhalt,Judith Rakers,Moderation,"Die Regierungsfraktionen von SPD, Bündnis 90/Die Grünen und FDP haben die Einbringung des Gebäudeenergiegesetzes (Heizungsgesetzes) in den Bundestag verschoben. Hintergrund sind grundsätzliche Bedenken der FDP. Der Koalitionspartner besteht - anders als SPD und Grüne - auf eine grundsätzliche Überarbeitung des Gesetzentwurfs. Damit sinkt die Wahrscheinlichkeit, dass das Gesetz - wie ursprünglich geplant - noch vor der parlamentarischen Sommerpause verabschiedet wird. O-Ton",23.05.2023,20:00:42.13,"2'18"""
Tagesschau,01 Streit um Heizungsgesetz,O-Ton,Robert Habeck,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,"(Dass es nichtaufgesetzt wird, ist ein Wortbruch gegenüber der getroffenen Vereinbarung im Koalitionsausschuss)",23.05.2023,20:00:55.19,"0'08"""
Tagesschau,01 Streit um Heizungsgesetz,O-Ton,Christian Dürr,Fraktionsvorsitzender FDP,"(Ich rate allen Beteiligten, verbal abzurüsten)",23.05.2023,20:01:19.21,"0'03"""
Tagesschau,01 Streit um Heizungsgesetz,O-Ton,Christian Dürr (Für die Menschen kommt es nicht darauf an,"wann eine Lesung im Deutschen Bundestag ist,","(Für die Menschen kommt es nicht darauf an, wann eine Lesung im Deutschen Bundestag ist,sondern ob sie ein Gebäudeenergiegesetz haben, was wirklich funktioniert)",23.05.2023,20:01:27.19,"0'08"""
Tagesschau,01 Streit um Heizungsgesetz,O-Ton,Rolf Mützenich,Fraktionsvorsitzender SPD,"(Am Ende würden wir uns allen schaden, wenn das nicht allerSachgerechtigkeit und aller Überzeugung in den Beratungen bis zur Sommerpause auf den Weg gebrachtwird)",23.05.2023,20:02:00.21,"0'15"""
Tagesschau,01 Streit um Heizungsgesetz,O-Ton,Friedrich Merz,Fraktionsvorsitzender CDU/CSU,"(Es wäre gut, wenn der Bundeskanzler ""baldmöglich"" dieFührung dieser Koalition übernimmt, und dafür sorgt, dass dieses Chaos ein Ende hat)",23.05.2023,20:02:24.19,"0'08"""
Tagesschau,Bundestag: Diskussion Heizungsgesetz Mi 20:00 02,Einspieler,,,,23.05.2023,,"2'11"""
Tagesschau,02 Bundestag: Diskussion Heizungsgesetz,Sachinhalt,Susanne Daubner,Moderation,Der Bundestag hat sich in einer aktuellen Stunde mit dem Gesetzentwurf zum Gebäudeenergiegesetz (Heizungsgesetz) von Bundeswirtschaftsminister Robert Habeck beschäftigt. Die Union lehnt den Gesetzentwurf ab und stellte die Handlungsfähigkeit der Ampel-Koalition in Frage. 15.11.2023 09:44 Seite 13 von 36 NDR Copyright (c) 2004,24.05.2023,20:03:27.24,"2'11"""
Tagesschau,02 Bundestag: Diskussion Heizungsgesetz,Bildinhalt,Susanne Daubner,Moderation,"Parlamentsdebatte/Bundestagsdebatte; Robert Habeck an seinem Platz neben Renate Künast (beide lachend, Emotion) O-Ton",24.05.2023,20:03:27.24,"2'11"""
Tagesschau,02 Bundestag: Diskussion Heizungsgesetz,O-Ton,Jens Spahn,stellvertretender Fraktionsvorsitzender CDU/CSU,"(Sie sorgen sich um Zeitpläne und Formalien,streiten auf Twitter; nur um die existentiellen Ängste der Leute im realen Leben, um die kümmert sich geradekeiner; liebe Kollegen von der Ampel, das ist machtvergessen, selbstbezogen, unwürdig - beenden Siedieses Schauspiel, ziehen Sie den Gesetzentwurf zurück)",24.05.2023,20:03:42.16,"0'22"""
Tagesschau,02 Bundestag: Diskussion Heizungsgesetz,O-Ton,Marc Bernhard,Fraktion AfD,"(Jetzt muss auch dieser ""Heizungs-Hammer"" weg; es ist doch völlig absurd,dass den Menschen ""verboten werden soll mit Gas zu heizen)",24.05.2023,20:04:22.24,"0'10"""
