,Content Type,Date,Program,Speaker Description,Speaker Name,Subtitle,affiliation,Processed
3033,O-Ton,2023-08-27,tagesschau,Vorsitzender FDP,Christian Lindner,Da muessen alle ein Einsehen haben.,FDP,muessen einsehen
3034,O-Ton,2023-08-27,tagesschau,Vorsitzender FDP,Christian Lindner,Zum Ampel-Streit zur Kindergrundsicherung sagt er:,FDP,Ampelstreit Kindergrundsicherung sagen
3038,O-Ton,2023-08-27,tagesschau,stellvertretender Fraktionsvorsitzender CDU/CSU,Jens Spahn,FDP-Chef Lindner ist im ZDF-Sommerinterview zu Gast.,CDU/CSU,Fdpchef Lindner Zdfsommerinterview gast
3040,O-Ton,2023-08-27,tagesschau,stellvertretender Fraktionsvorsitzender CDU/CSU,Jens Spahn,"Wer es nach Europa schafft, der bleibt.",CDU/CSU,wer Europa schaffen bleiben
3041,O-Ton,2023-08-27,tagesschau,Vorsitzender CDU,Friedrich Merz,"Merz versucht, als Kaempfer gegen Buerokratie zu punkten.",CDU/CSU,Merz versuchen Kaempfer Buerokratie punkt
3055,O-Ton,2023-08-27,tagesschau,Vorsitzender CDU,Friedrich Merz,Hoehere Transferleistungen loesen das Problem nicht.,CDU/CSU,hoeh transferleistung Loese Problem
3057,O-Ton,2023-08-27,tagesschau,Vorsitzender CDU,Friedrich Merz,"bessere Bildungseinrichtungen, bessere Betreuungsmoeglichkeiten.",CDU/CSU,gut Bildungseinrichtung gut Betreuungsmoeglichkeit
3061,O-Ton,2023-08-27,tagesschau,Vorsitzender CDU,Friedrich Merz,Die bessere Loesung waere,CDU/CSU,gut Loesung wa
3063,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Es kann nicht anders sein.,Expert,
3066,O-Ton,2023-09-08,tagesthemen,Vorsitzender CSU-Landesgruppe im Deutschen Bundestag,Alexander Dobrindt,"Es geht nicht darum, wie man es veraendern kann.",CDU/CSU,gehen darum veraendern
3068,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Die FDP verlor fuenf Landtagswahlen nacheinander.,Expert,FDP verlieren Fuenf landtagswahlen nacheinander
3070,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,2023 hat man sich mit sich selbst beschaeftigt.,Expert,2023 beschaeftigen
3071,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Im ersten Jahr hat man sich mit Putin beschaeftigt.,Expert,erster Jahr Putin beschaeftigen
3072,O-Ton,2023-09-08,tagesthemen,Vorsitzender CSU-Landesgruppe im Deutschen Bundestag,Alexander Dobrindt,Doch etwas ist anders heute: Die Ampel zeigt Einigkeit.,CDU/CSU,heute Ampel zeigen Einigkeit
3073,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Streit gehoert zu einer Koalition.,Expert,Streit gehoern Koalition
3074,O-Ton,2023-09-08,tagesthemen,Vorsitzender CSU-Landesgruppe im Deutschen Bundestag,Alexander Dobrindt,"Es geht darum, dass es abgeschafft werden muss.",CDU/CSU,gehen darum abschaffen
3076,O-Ton,2023-09-08,tagesthemen,Bundeskanzler/SPD,Archivmaterial 14.06.2023: Olaf Scholz,"Aber Thomas Heilmann (CDU) hindert die Ampel daran,",SPD,Thomas Heilmann CDU hindern Ampel daran
3078,O-Ton,2023-09-08,tagesthemen,Autor und Dokumentarfilmer,Stephan Lamby,Robert Habeck hat sich am meisten veraendert.,Expert,Robert Habeck meister veraenderen
3080,O-Ton,2023-09-08,tagesthemen,Bundeskanzler/SPD,Archivmaterial 14.06.2023: Olaf Scholz,In den Bundestag eingebracht wird das Heizungsgesetz.,SPD,Bundestag einbringen Heizungsgesetz
