,Content Type,Date,Program,Speaker Description,Speaker Name,Subtitle,affiliation,Processed
709,O-Ton,2023-05-07,tagesschau,"dass alles bleibt, wie es ist. Die Alternative ist, dass","Ricarda Lang (""Die Alternative zur Veränderung ist nicht","sie machen sich Sorgen darueber, ob Buerger dazu bereit sind.",Die Grünen,sorgen darueber buerger bereit
710,O-Ton,2023-05-07,tagesschau,"dass alles bleibt, wie es ist. Die Alternative ist, dass","Ricarda Lang (""Die Alternative zur Veränderung ist nicht","Dann heisst es,",Die Grünen,heisst
711,O-Ton,2023-05-07,tagesschau,"dass alles bleibt, wie es ist. Die Alternative ist, dass","Ricarda Lang (""Die Alternative zur Veränderung ist nicht",gemeinsam Geld in die Hand nehmen und unterstuetzen.,Die Grünen,gemeinsam Geld Hand nehmen unterstuetzen
712,O-Ton,2023-05-07,tagesschau,"dass alles bleibt, wie es ist. Die Alternative ist, dass","Ricarda Lang (""Die Alternative zur Veränderung ist nicht",Davon muessen sie,Die Grünen,davon muessen
735,O-Ton,2023-05-10,tagesthemen,"dass mit einer Härte und fast Böswilligkeit,","Robert Habeck (""Ich erlebe jetzt seit mehreren Wochen",Die Verhinderung der Dekarbonisierung,Die Grünen,Verhinderung Dekarbonisierung
736,O-Ton,2023-05-10,tagesthemen,"dass mit einer Härte und fast Böswilligkeit,","Robert Habeck (""Ich erlebe jetzt seit mehreren Wochen","Aber ich kann Ihnen sagen,",Die Grünen,sagen
737,O-Ton,2023-05-10,tagesthemen,"dass mit einer Härte und fast Böswilligkeit,","Robert Habeck (""Ich erlebe jetzt seit mehreren Wochen","teilweise Luegen verbreitet werden, um eins durchzusetzen:",Die Grünen,teilweise luegen verbreiten durchsetzen
738,O-Ton,2023-05-10,tagesthemen,"dass mit einer Härte und fast Böswilligkeit,","Robert Habeck (""Ich erlebe jetzt seit mehreren Wochen","und fast Boeswilligkeit, Unterstellungen, Beleidigungen,",Die Grünen,fast boeswilligkeit unterstellung Beleidigung
739,O-Ton,2023-05-10,tagesthemen,"dass mit einer Härte und fast Böswilligkeit,","Robert Habeck (""Ich erlebe jetzt seit mehreren Wochen","Ich erlebe in den letzten Wochen, dass mit einer Haerte",Die Grünen,erleben letzter Woche Haerte
740,O-Ton,2023-05-10,tagesthemen,"dass mit einer Härte und fast Böswilligkeit,","Robert Habeck (""Ich erlebe jetzt seit mehreren Wochen","wir kommen hier nur durch, wenn wir diese Dinge trennen.",Die Grünen,kommen ding trennen
741,O-Ton,2023-05-10,tagesthemen,"dass mit einer Härte und fast Böswilligkeit,","Robert Habeck (""Ich erlebe jetzt seit mehreren Wochen",Deswegen kann ich mit der Frage wenig anfangen.,Die Grünen,deswegen Frage wenig anfangen
742,O-Ton,2023-05-10,tagesthemen,"dass mit einer Härte und fast Böswilligkeit,","Robert Habeck (""Ich erlebe jetzt seit mehreren Wochen",Wuerden Sie das nicht auch so machen?,Die Grünen,wuerden
743,O-Ton,2023-05-10,tagesthemen,"dass mit einer Härte und fast Böswilligkeit,","Robert Habeck (""Ich erlebe jetzt seit mehreren Wochen","Ich trage die Verantwortung,",Die Grünen,tragen Verantwortung
744,O-Ton,2023-05-10,tagesthemen,"dass mit einer Härte und fast Böswilligkeit,","Robert Habeck (""Ich erlebe jetzt seit mehreren Wochen",Ich bin nicht in Opposition.,Die Grünen,Opposition
745,O-Ton,2023-05-10,tagesthemen,"dass mit einer Härte und fast Böswilligkeit,","Robert Habeck (""Ich erlebe jetzt seit mehreren Wochen",Das ist eine hypothetische Frage.,Die Grünen,hypothetisch Frage
746,O-Ton,2023-05-10,tagesthemen,"dass mit einer Härte und fast Böswilligkeit,","Robert Habeck (""Ich erlebe jetzt seit mehreren Wochen","Es ist doch jetzt wohlpfeil zu sagen, es ist politisch motiviert.",Die Grünen,wohlpfeil sagen politisch motivieren
747,O-Ton,2023-05-10,tagesthemen,"dass mit einer Härte und fast Böswilligkeit,","Robert Habeck (""Ich erlebe jetzt seit mehreren Wochen",des Klimaschutzes im Waermebereich.,Die Grünen,Klimaschutz Waermebereich
748,O-Ton,2023-05-10,tagesthemen,"dass mit einer Härte und fast Böswilligkeit,","Robert Habeck (""Ich erlebe jetzt seit mehreren Wochen",Was ist die Frage dahinter?Herr Habeck!Ich habe sie beantwortet.,Die Grünen,Frage Dahinterherr habeckich beantworten
749,O-Ton,2023-05-10,tagesthemen,"dass mit einer Härte und fast Böswilligkeit,","Robert Habeck (""Ich erlebe jetzt seit mehreren Wochen",die Beschluesse der Regierung durchzusetzen.,Die Grünen,beschluesse Regierung durchsetzen
750,O-Ton,2023-05-10,tagesthemen,"dass mit einer Härte und fast Böswilligkeit,","Robert Habeck (""Ich erlebe jetzt seit mehreren Wochen","Da bin ich nicht bereit, Menschen zu opfern,",Die Grünen,bereit Mensch opfern
751,O-Ton,2023-05-10,tagesthemen,"wir schreiben das Verfahren neu aus. Wir machen alles, um","Robert Habeck (""Wir gehen zurück auf Null",Wir gehen zurueck auf null.,Die Grünen,gehen Zurueck null
752,O-Ton,2023-05-10,tagesthemen,"dass mit einer Härte und fast Böswilligkeit,","Robert Habeck (""Ich erlebe jetzt seit mehreren Wochen","Die Frage ist aber, ob Sie das durchsetzen koennen.",Die Grünen,Frage durchsetzen Koenn
753,O-Ton,2023-05-10,tagesthemen,"wir schreiben das Verfahren neu aus. Wir machen alles, um","Robert Habeck (""Wir gehen zurück auf Null","die nicht zur Sache gehoeren, politische Ziele verfolgt werden?",Die Grünen,Sache gehoeren politisch Ziel verfolgen
754,O-Ton,2023-05-10,tagesthemen,"wir schreiben das Verfahren neu aus. Wir machen alles, um","Robert Habeck (""Wir gehen zurück auf Null","Und soll mit Unterstellungen und Anwuerfen,",Die Grünen,sollen unterstellung Anwuerf
755,O-Ton,2023-05-10,tagesthemen,"wir schreiben das Verfahren neu aus. Wir machen alles, um","Robert Habeck (""Wir gehen zurück auf Null",Soll alles miteinander verknuepft werden?,Die Grünen,sollen miteinander verknuepfen
756,O-Ton,2023-05-10,tagesthemen,"wir schreiben das Verfahren neu aus. Wir machen alles, um","Robert Habeck (""Wir gehen zurück auf Null",Die Frage ist ja:,Die Grünen,Frage ja
757,O-Ton,2023-05-10,tagesthemen,"wir schreiben das Verfahren neu aus. Wir machen alles, um","Robert Habeck (""Wir gehen zurück auf Null",Das kann nur die deutsche Bevoelkerung.,Die Grünen,deutsch Bevoelkerung
758,O-Ton,2023-05-10,tagesthemen,"wir schreiben das Verfahren neu aus. Wir machen alles, um","Robert Habeck (""Wir gehen zurück auf Null",Aber am Ende kann ich die Frage nicht beantworten.,Die Grünen,Ende Frage beantworten
759,O-Ton,2023-05-10,tagesthemen,"wir schreiben das Verfahren neu aus. Wir machen alles, um","Robert Habeck (""Wir gehen zurück auf Null",Er wird eine Zeit lang uns noch belasten.,Die Grünen,Zeit lang belasten
760,O-Ton,2023-05-10,tagesthemen,"wir schreiben das Verfahren neu aus. Wir machen alles, um","Robert Habeck (""Wir gehen zurück auf Null","Wir machen alles, um diesen Fehler aus der Welt schaffen.",Die Grünen,Fehler Welt schaffen
761,O-Ton,2023-05-10,tagesthemen,"wir schreiben das Verfahren neu aus. Wir machen alles, um","Robert Habeck (""Wir gehen zurück auf Null",Wir schreiben neu aus.,Die Grünen,schreiben neu
762,O-Ton,2023-05-10,tagesthemen,"dass mit einer Härte und fast Böswilligkeit,","Robert Habeck (""Ich erlebe jetzt seit mehreren Wochen",wo ein ethisch-moralischer Anspruch dabei herrscht.,Die Grünen,ethischmoralisch Anspruch dabei herrschen
763,O-Ton,2023-05-10,tagesthemen,"wir schreiben das Verfahren neu aus. Wir machen alles, um","Robert Habeck (""Wir gehen zurück auf Null",Wir lassen kein Gras drueber wachsen.,Die Grünen,lassen Gras drueber wachsen
764,O-Ton,2023-05-10,tagesthemen,"wir schreiben das Verfahren neu aus. Wir machen alles, um","Robert Habeck (""Wir gehen zurück auf Null",Ist das die Strategie?,Die Grünen,Strategie
765,O-Ton,2023-05-10,tagesthemen,"wir schreiben das Verfahren neu aus. Wir machen alles, um","Robert Habeck (""Wir gehen zurück auf Null","Nach dem Motto, wir raeumen es ein und lassen Gras gewachsen.",Die Grünen,Motto raeumen lassen gras wachsen
766,O-Ton,2023-05-10,tagesthemen,"wir schreiben das Verfahren neu aus. Wir machen alles, um","Robert Habeck (""Wir gehen zurück auf Null",Und ob Ihnen das politisch nuetzt?,Die Grünen,politisch nuetzt
767,O-Ton,2023-05-10,tagesthemen,"dass mit einer Härte und fast Böswilligkeit,","Robert Habeck (""Ich erlebe jetzt seit mehreren Wochen",Sie wollen es aussetzen.,Die Grünen,aussetzen
768,O-Ton,2023-05-10,tagesthemen,"dass mit einer Härte und fast Böswilligkeit,","Robert Habeck (""Ich erlebe jetzt seit mehreren Wochen",um dieser Kampagne nachzugehen.,Die Grünen,Kampagne nachgehen
769,O-Ton,2023-05-10,tagesthemen,"dass mit einer Härte und fast Böswilligkeit,","Robert Habeck (""Ich erlebe jetzt seit mehreren Wochen","Gerade bei den Gruenen,",Die Grünen,gerade gruen
770,O-Ton,2023-05-10,tagesthemen,und auf die,"Robert Habeck (zur Forderung nach Entlassung von Patrick Graichen: ""Die Sache selbst",gibt es nicht her.,Die Grünen,geben her
771,O-Ton,2023-05-10,tagesthemen,und auf die,"Robert Habeck (zur Forderung nach Entlassung von Patrick Graichen: ""Die Sache selbst","Sie ja, aber die Opposition wird es nicht tun.",Die Grünen,ja Opposition tun
772,O-Ton,2023-05-10,tagesthemen,"weil wir die Dinge ändern. Die große Koalition, die letzte","Robert Habeck (""Ich biete eine Angriffsfläche","eine, wie ich finde, unangemessene Entscheidung treffen.",Die Grünen,finden unangemessen Entscheidung treffen
773,O-Ton,2023-05-10,tagesthemen,"weil wir die Dinge ändern. Die große Koalition, die letzte","Robert Habeck (""Ich biete eine Angriffsfläche",Dann will ich aber auch nicht aus taktischen Gruenden,Die Grünen,taktisch gruend
774,O-Ton,2023-05-10,tagesthemen,"weil wir die Dinge ändern. Die große Koalition, die letzte","Robert Habeck (""Ich biete eine Angriffsfläche",Das ist haeufig in der Vergangenheit nicht passiert.,Die Grünen,haeufig Vergangenheit passieren
775,O-Ton,2023-05-10,tagesthemen,"weil wir die Dinge ändern. Die große Koalition, die letzte","Robert Habeck (""Ich biete eine Angriffsfläche",Das haben wir selber gemacht.,Die Grünen,selber
776,O-Ton,2023-05-10,tagesthemen,"weil wir die Dinge ändern. Die große Koalition, die letzte","Robert Habeck (""Ich biete eine Angriffsfläche",Ich moechte Klarheit bei der Fehlerzugabe.,Die Grünen,moechten Klarheit Fehlerzugabe
777,O-Ton,2023-05-10,tagesthemen,"weil wir die Dinge ändern. Die große Koalition, die letzte","Robert Habeck (""Ich biete eine Angriffsfläche","wie es die Union in diesem Fall tut, vermengen.",Die Grünen,Union Fall tun vermengen
778,O-Ton,2023-05-10,tagesthemen,"weil wir die Dinge ändern. Die große Koalition, die letzte","Robert Habeck (""Ich biete eine Angriffsfläche","Nur will ich nicht die beiden verschiedenen Bereiche,",Die Grünen,beide verschieden Bereich
779,O-Ton,2023-05-10,tagesthemen,"weil wir die Dinge ändern. Die große Koalition, die letzte","Robert Habeck (""Ich biete eine Angriffsfläche",Aber es ist ein sehr vermachtetes Feld.,Die Grünen,vermachtet Feld
780,O-Ton,2023-05-10,tagesthemen,"weil wir die Dinge ändern. Die große Koalition, die letzte","Robert Habeck (""Ich biete eine Angriffsfläche",dass die Klimaneutralitaet Deutschlands bis 2045 zu erreichen.,Die Grünen,Dass klimaneutralitaet Deutschland 2045 erreichen
781,O-Ton,2023-05-10,tagesthemen,"weil wir die Dinge ändern. Die große Koalition, die letzte","Robert Habeck (""Ich biete eine Angriffsfläche",Sie hat nur wenig dafuer getan.,Die Grünen,wenig Dafuer tun
782,O-Ton,2023-05-10,tagesthemen,"weil wir die Dinge ändern. Die große Koalition, die letzte","Robert Habeck (""Ich biete eine Angriffsfläche","Das aendern wir jetzt, wir tun etwas dafuer.",Die Grünen,aendern tun dafu
783,O-Ton,2023-05-10,tagesthemen,"weil wir die Dinge ändern. Die große Koalition, die letzte","Robert Habeck (""Ich biete eine Angriffsfläche",Das ist meine Aufgabe und eine notwendige Aufgabe.,Die Grünen,Aufgabe notwendig Aufgabe
784,O-Ton,2023-05-10,tagesthemen,"weil wir die Dinge ändern. Die große Koalition, die letzte","Robert Habeck (""Ich biete eine Angriffsfläche",Da wird man zur Angriffsflaeche.,Die Grünen,angriffsflaech
785,O-Ton,2023-05-10,tagesthemen,"weil wir die Dinge ändern. Die große Koalition, die letzte","Robert Habeck (""Ich biete eine Angriffsfläche","Wenn man Deutschland klimaneutral macht, dann heisst es ja,",Die Grünen,Deutschland Klimaneutral heisst ja
786,O-Ton,2023-05-10,tagesthemen,"weil wir die Dinge ändern. Die große Koalition, die letzte","Robert Habeck (""Ich biete eine Angriffsfläche",es wird kein Gas verbrannt.,Die Grünen,Gas verbrennen
787,O-Ton,2023-05-10,tagesthemen,"weil wir die Dinge ändern. Die große Koalition, die letzte","Robert Habeck (""Ich biete eine Angriffsfläche","Das Gefaehrliche ist doch, dass bei nicht wenigen haengen bleibt,",Die Grünen,gefaehrlich weniger haengen bleiben
788,O-Ton,2023-05-10,tagesthemen,und auf die,"Robert Habeck (zur Forderung nach Entlassung von Patrick Graichen: ""Die Sache selbst","Und waeren Sie Opposition, wuerden Sie es auch nicht tun.",Die Grünen,waeren Opposition wuerden tun
789,O-Ton,2023-05-10,tagesthemen,und auf die,"Robert Habeck (zur Forderung nach Entlassung von Patrick Graichen: ""Die Sache selbst",Sie predigen Wasser und trinken Wein.,Die Grünen,predigen Wasser trinken Wein
790,O-Ton,2023-05-10,tagesthemen,und auf die,"Robert Habeck (zur Forderung nach Entlassung von Patrick Graichen: ""Die Sache selbst","Die FDP, Ihr Koalitionspartner, spricht:",Die Grünen,FDP Koalitionspartner sprechen
791,O-Ton,2023-05-10,tagesthemen,und auf die,"Robert Habeck (zur Forderung nach Entlassung von Patrick Graichen: ""Die Sache selbst","Deswegen versuche ich, diese Dinge zu trennen.",Die Grünen,deswegen versuchen ding trennen
792,O-Ton,2023-05-10,tagesthemen,und auf die,"Robert Habeck (zur Forderung nach Entlassung von Patrick Graichen: ""Die Sache selbst","Das ist eine Art, die ich nicht pflegen moechte.",Die Grünen,Art pflegen moechen
793,O-Ton,2023-05-10,tagesthemen,und auf die,"Robert Habeck (zur Forderung nach Entlassung von Patrick Graichen: ""Die Sache selbst","werde beliebter oder wieder beliebt, entlasse Leute:",Die Grünen,beliebt beliebt entlasse Leute
794,O-Ton,2023-05-10,tagesthemen,und auf die,"Robert Habeck (zur Forderung nach Entlassung von Patrick Graichen: ""Die Sache selbst","Das strategische Argument, mach es dir doch bequemer,",Die Grünen,strategisch Argument mechen bequem
795,O-Ton,2023-05-10,tagesthemen,"wir schreiben das Verfahren neu aus. Wir machen alles, um","Robert Habeck (""Wir gehen zurück auf Null",Ich moechte diese Sachen trennen.,Die Grünen,moechten Sache trennen
796,O-Ton,2023-05-10,tagesthemen,und auf die,"Robert Habeck (zur Forderung nach Entlassung von Patrick Graichen: ""Die Sache selbst","Die Sache selbst, auf die konzentriere ich mich,",Die Grünen,Sache konzentrieren
797,O-Ton,2023-05-10,tagesthemen,und auf die,"Robert Habeck (zur Forderung nach Entlassung von Patrick Graichen: ""Die Sache selbst",Den muss man auch uebertragen auf andere Verhaeltnisse.,Die Grünen,Uebertrag Verhaeltnisse
798,O-Ton,2023-05-10,tagesthemen,und auf die,"Robert Habeck (zur Forderung nach Entlassung von Patrick Graichen: ""Die Sache selbst","Es ist ein gravierender, persoenlicher Schnitt.",Die Grünen,gravierend persoenlich Schnitt
799,O-Ton,2023-05-10,tagesthemen,und auf die,"Robert Habeck (zur Forderung nach Entlassung von Patrick Graichen: ""Die Sache selbst",Dann muss es sich aus der Sache heraus ergeben.,Die Grünen,Sache heraus ergeben
800,O-Ton,2023-05-10,tagesthemen,und auf die,"Robert Habeck (zur Forderung nach Entlassung von Patrick Graichen: ""Die Sache selbst",die gibt es und die kann begruendet vorgetragen werden:,Die Grünen,geben begruendet vortragen
801,O-Ton,2023-05-10,tagesthemen,und auf die,"Robert Habeck (zur Forderung nach Entlassung von Patrick Graichen: ""Die Sache selbst","Wenn die Forderung ist, Patrick Graichen zu entlassen,",Die Grünen,Forderung patrick graichen entlassen
802,O-Ton,2023-05-10,tagesthemen,und auf die,"Robert Habeck (zur Forderung nach Entlassung von Patrick Graichen: ""Die Sache selbst",in gewisser Weise auch die Energiewende?,Die Grünen,gewiß Weise energiewend
803,O-Ton,2023-05-10,tagesthemen,und auf die,"Robert Habeck (zur Forderung nach Entlassung von Patrick Graichen: ""Die Sache selbst",Gefaehrden Sie nicht auch mit Ihrem Verharren auf Herrn Graichen,Die Grünen,gefaehrden verharren Herr graichen
804,O-Ton,2023-05-10,tagesthemen,und auf die,"Robert Habeck (zur Forderung nach Entlassung von Patrick Graichen: ""Die Sache selbst","und einem erheblichen Vertrauens- und Glaubwuerdigkeitsverlust"".",Die Grünen,erheblich Vertrauens Glaubwuerdigkeitsverlust
805,O-Ton,2023-05-10,tagesthemen,und auf die,"Robert Habeck (zur Forderung nach Entlassung von Patrick Graichen: ""Die Sache selbst","""von einem verursachten Theater",Die Grünen,verursacht Theater
806,O-Ton,2023-05-10,tagesthemen,und auf die,"Robert Habeck (zur Forderung nach Entlassung von Patrick Graichen: ""Die Sache selbst",Das wird politisch ausgenutzt.,Die Grünen,politisch ausnutzen
807,O-Ton,2023-05-10,tagesthemen,"wir schreiben das Verfahren neu aus. Wir machen alles, um","Robert Habeck (""Wir gehen zurück auf Null","Ob das erfolgreich sein wird, werden wir sehen.",Die Grünen,erfolgreich sehen
809,O-Ton,2023-05-10,tagesthemen,"wir schreiben das Verfahren neu aus. Wir machen alles, um","Robert Habeck (""Wir gehen zurück auf Null",Der Umgang mit dem Fall Graichen.,Die Grünen,Umgang Fall graichen
810,O-Ton,2023-05-10,tagesthemen,diese Glaubwürdigkeit wieder herzustellen - das tun wir durch die,"Robert Habeck (Es ""geht darum",Was wird hier miteinander vermengt?,Die Grünen,miteinander vermengen
811,O-Ton,2023-05-10,tagesthemen,diese Glaubwürdigkeit wieder herzustellen - das tun wir durch die,"Robert Habeck (Es ""geht darum",Insofern steht die Frage an die Union im Raum:,Die Grünen,insofern stehen Frage Union Raum
812,O-Ton,2023-05-10,tagesthemen,diese Glaubwürdigkeit wieder herzustellen - das tun wir durch die,"Robert Habeck (Es ""geht darum",Sie starten morgen eine Kampagne gegen das Gesetz.,Die Grünen,starten morgen Kampagne Gesetz
813,O-Ton,2023-05-10,tagesthemen,diese Glaubwürdigkeit wieder herzustellen - das tun wir durch die,"Robert Habeck (Es ""geht darum",Das hat er fast woertlich gesagt.,Die Grünen,fast woertlich sagen
814,O-Ton,2023-05-10,tagesthemen,diese Glaubwürdigkeit wieder herzustellen - das tun wir durch die,"Robert Habeck (Es ""geht darum",um das Gesetz zur Waermewende zu bekaempfen.,Die Grünen,Gesetz Waermewend bekaempfen
815,O-Ton,2023-05-10,tagesthemen,diese Glaubwürdigkeit wieder herzustellen - das tun wir durch die,"Robert Habeck (Es ""geht darum","Er hat gesagt, wir nutzen das nur,",Die Grünen,sagen nutzen
816,O-Ton,2023-05-10,tagesthemen,diese Glaubwürdigkeit wieder herzustellen - das tun wir durch die,"Robert Habeck (Es ""geht darum","Gerade, weil es so ein grosses Thema fuer Sie ist:",Die Grünen,gerade gross Thema Fuer
817,O-Ton,2023-05-10,tagesthemen,diese Glaubwürdigkeit wieder herzustellen - das tun wir durch die,"Robert Habeck (Es ""geht darum",bei den Ausschuessen ist nichts Neues herausgekommen.,Die Grünen,ausschuessen neu herauskommen
818,O-Ton,2023-05-10,tagesthemen,diese Glaubwürdigkeit wieder herzustellen - das tun wir durch die,"Robert Habeck (Es ""geht darum",unter dem Vorwand der Aufklaerung der Trauzeugenaffaere ...,Die Grünen,Vorwand Aufklaerung Trauzeugenaffaere
819,O-Ton,2023-05-10,tagesthemen,diese Glaubwürdigkeit wieder herzustellen - das tun wir durch die,"Robert Habeck (Es ""geht darum","Es ist heute im Bundestag von dem Generalsekretaer Union gesagt worden,",Die Grünen,heute Bundestag generalsekretaer Union sagen
820,O-Ton,2023-05-10,tagesthemen,diese Glaubwürdigkeit wieder herzustellen - das tun wir durch die,"Robert Habeck (Es ""geht darum",Umgekehrt gilt es aber auch:,Die Grünen,umgekehrt gelten
821,O-Ton,2023-05-10,tagesthemen,diese Glaubwürdigkeit wieder herzustellen - das tun wir durch die,"Robert Habeck (Es ""geht darum",Das tun wir durch die genannten Massnahmen.,Die Grünen,tun genannt Massnahm
822,O-Ton,2023-05-10,tagesthemen,diese Glaubwürdigkeit wieder herzustellen - das tun wir durch die,"Robert Habeck (Es ""geht darum","Deswegen geht es darum, diese Glaubwuerdigkeit wieder herzustellen.",Die Grünen,deswegen gehen darum Glaubwuerdigkeit herstellen
823,O-Ton,2023-05-10,tagesthemen,diese Glaubwürdigkeit wieder herzustellen - das tun wir durch die,"Robert Habeck (Es ""geht darum",ohne Glaubwuerdigkeit ist Politik schwierig durchzusetzen.,Die Grünen,Glaubwuerdigkeit Politik schwierig durchsetzen
824,O-Ton,2023-05-10,tagesthemen,diese Glaubwürdigkeit wieder herzustellen - das tun wir durch die,"Robert Habeck (Es ""geht darum","Die ist ja aufgeklaert,",Die Grünen,ja aufgeklaeren
825,O-Ton,2023-05-10,tagesthemen,diese Glaubwürdigkeit wieder herzustellen - das tun wir durch die,"Robert Habeck (Es ""geht darum","Diese Angriffsflaeche, die Sie bieten,",Die Grünen,Angriffsflaech bieten
826,O-Ton,2023-05-10,tagesthemen,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,Als schwierig und herausfordernd.,Die Grünen,schwierig herausfordernd
827,O-Ton,2023-05-10,tagesthemen,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,Aber wegen offen mit dem Problem um.,Die Grünen,wegen offen Problem
828,O-Ton,2023-05-10,tagesthemen,"weil wir die Dinge ändern. Die große Koalition, die letzte","Robert Habeck (""Ich biete eine Angriffsfläche",Legitimerweise treten Leute auch fuer ihre Interessen ein.,Die Grünen,legitimerweise treten Leute Fuer Interesse
829,O-Ton,2023-05-10,tagesthemen,"weil wir die Dinge ändern. Die große Koalition, die letzte","Robert Habeck (""Ich biete eine Angriffsfläche","selbst wenn es ein politisches Spiel ist, so funktioniert es nun mal ...",Die Grünen,politisch Spiel funktionieren mal
830,O-Ton,2023-05-10,tagesthemen,"weil wir die Dinge ändern. Die große Koalition, die letzte","Robert Habeck (""Ich biete eine Angriffsfläche",Die Angriffsflaeche bleibt ja jetzt.,Die Grünen,angriffsflaech bleiben ja
831,O-Ton,2023-05-10,tagesthemen,"weil wir die Dinge ändern. Die große Koalition, die letzte","Robert Habeck (""Ich biete eine Angriffsfläche","Es verschwindet nicht, nur weil Sie sagen, wir machen es jetzt anders.",Die Grünen,verschwinden sagen
832,O-Ton,2023-05-10,tagesthemen,"weil wir die Dinge ändern. Die große Koalition, die letzte","Robert Habeck (""Ich biete eine Angriffsfläche",Der Posten wird neu besetzt.,Die Grünen,Posten neu besetzen
833,O-Ton,2023-05-10,tagesthemen,"weil wir die Dinge ändern. Die große Koalition, die letzte","Robert Habeck (""Ich biete eine Angriffsfläche","Das ist richtig, ich biete eine Angriffsflaeche,",Die Grünen,richtig bieten angriffsflaech
834,O-Ton,2023-05-10,tagesthemen,"weil wir die Dinge ändern. Die große Koalition, die letzte","Robert Habeck (""Ich biete eine Angriffsfläche",weil wir die Dinge aendern.,Die Grünen,dinger aendern
835,O-Ton,2023-05-10,tagesthemen,"weil wir die Dinge ändern. Die große Koalition, die letzte","Robert Habeck (""Ich biete eine Angriffsfläche","Die letzte Bundesregierung hat sich entschieden,",Die Grünen,letzter Bundesregierung entscheiden
836,O-Ton,2023-05-10,tagesthemen,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,"Wir korrigieren ja, wir machen nicht einfach weiter.",Die Grünen,korrigieren ja einfach
837,O-Ton,2023-05-10,tagesthemen,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,Sollte man nicht das Thema mit einem harten Schnitt abraeumen?,Die Grünen,sollen Thema hart Schnitt abraeumen
838,O-Ton,2023-05-10,tagesthemen,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,Die Opposition wird weiter nachhaken.,Die Grünen,Opposition Nachhak
839,O-Ton,2023-05-10,tagesthemen,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,"so verstaendlich es sein mag, koennen Sie es sich leisten?",Die Grünen,verstaendleichen mögen Koenn leisten
840,O-Ton,2023-05-10,tagesthemen,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,"Aber dass Sie an Patrick Graichen festhalten wollen,",Die Grünen,patrick graichen festhalten
841,O-Ton,2023-05-10,tagesthemen,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,aber wir machen weiter.,Die Grünen,
842,O-Ton,2023-05-10,tagesthemen,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,"In dem Sie sagen, es seien Fehler gemacht worden,",Die Grünen,sagen Fehler
843,O-Ton,2023-05-10,tagesthemen,diese Glaubwürdigkeit wieder herzustellen - das tun wir durch die,"Robert Habeck (Es ""geht darum","Das ist richtig,",Die Grünen,richtig
844,O-Ton,2023-05-10,tagesthemen,diese Glaubwürdigkeit wieder herzustellen - das tun wir durch die,"Robert Habeck (Es ""geht darum",Die Opposition wird es doch auch weiter vorantreiben.,Die Grünen,Opposition vorantreiben
845,O-Ton,2023-05-10,tagesthemen,diese Glaubwürdigkeit wieder herzustellen - das tun wir durch die,"Robert Habeck (Es ""geht darum",je laenger dieses Thema noch in der Welt ist.,Die Grünen,je laeng Thema Welt
846,O-Ton,2023-05-10,tagesthemen,diese Glaubwürdigkeit wieder herzustellen - das tun wir durch die,"Robert Habeck (Es ""geht darum","Allein Umfragewerte zeigen, dass das zu schwinden scheint",Die Grünen,allein umfragewert zeigen schwinden scheinen
847,O-Ton,2023-05-10,tagesthemen,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,haben Sie kommentiert:,Die Grünen,kommentieren
848,O-Ton,2023-05-10,tagesthemen,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,Nach der Plagiatsaffaere um Annalena Baerbock,Die Grünen,Plagiatsaffaere Annalena Baerbock
849,O-Ton,2023-05-10,tagesthemen,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,"Guten Abend, Herr Habeck. Guten Abend.",Die Grünen,gut Abend Herr Habeck gut Abend
850,O-Ton,2023-05-10,tagesthemen,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,mit dem Wirtschaftsminister Robert Habeck in Berlin.,Die Grünen,Wirtschaftsminister Robert Habeck Berlin
851,O-Ton,2023-05-10,tagesthemen,Bundesminister für Wirtschaft und Klimaschutz/Bündnis 90/Die Grünen,Robert Habeck,Und auch darueber habe ich vor der Sendung sprechen koennen,Die Grünen,darueber Sendung sprechen Koenn
861,O-Ton,2023-05-10,tagesthemen,"wir schreiben das Verfahren neu aus. Wir machen alles, um","Robert Habeck (""Wir gehen zurück auf Null",Dazu hat unser Hauptstadt-Korrespondent,Die Grünen,Hauptstadtkorrespondent
