Programme,Section Title,Content Type,Speaker Name,Speaker Description,Segment Description,Date,Start Time,Duration,Subtitles
Tagesschau,03 Lage der Bundes-Grünen vor der Bremenwahl,Bildinhalt,Constantin Schreiber,Moderation,Archivmaterial (06.05.2023): Bündnis 90/Die Grünen feiern in Leipzig 30. Jubiläum des Zusammenschlusses von Bündnis 90 und Grüne O-Ton,2023-05-07,20:06:48.16,"0'11""",
Tagesschau,03 Lage der Bundes-Grünen vor der Bremenwahl,O-Ton,Ricarda Lang,Vorsitzende Bündnis 90/Die Grünen,"(""Glaubwürdigkeit geht, indem wir klare Regeln haben,indem wir uns auch nicht verunsichern lassen und indem wir jetzt die Fragen, die die Bürgerinnen und Bürgertatsächlich umtreiben, z. B. soziale Frage, beantworten"")",2023-05-07,20:05:37.21,"0'18""",
Tagesschau,03 Lage der Bundes-Grünen vor der Bremenwahl,O-Ton,Sabine Kropp,Politikwissenschaftlerin Freie Universität Berlin,,2023-05-07,20:06:04.12,"0'08""",
Tagesschau,03 Lage der Bundes-Grünen vor der Bremenwahl,O-Ton,"Ricarda Lang (""Die Alternative zur Veränderung ist nicht","dass alles bleibt, wie es ist. Die Alternative ist, dass","(""Die Alternative zur Veränderung ist nicht, dass alles bleibt, wie es ist. Die Alternative ist, dasses unsicherer, teurer und gefährlicher wird. Aber, wenn wir jetzt sagen, wir gehen diese Veränderung an, dasmachen wir gemeinsam, ... dann heißt das doch jetzt auch, dass wir gemeinsam Geld in die Hand nehmen,um sie [die Bürger] dabei zu unterstützen"")",2023-05-07,20:06:27.15,"0'21""",
Tagesschau,Reaktionen Wahl Bürgerschaft Bremen Mo 20:00 03,Einspieler,,,,2023-05-07,,"1'56""","Hier ist das Erste Deutsche Fernsehen mit der tagesschau. Diese Sendung wurde vom NDR live untertitelt (07.05.2023) Heute im Studio: Constantin Schreiber. Guten Abend, ich begruesse Sie zur tagesschau. Sie gilt als ein Symbol fuer marode Infrastruktur in Deutschland: Die Talbruecke Rahmede in Nordrhein-Westfalen. Heute ist sie erfolgreich gesprengt worden. Die Bruecke an der A45, einer zentralen Nord-Sued-Achse, lag zwischen Luedenscheid-Nord und Luedenscheid. Seit Dezember 2021 war sie voll gesperrt. Mit drastischen Auswirkungen auf den Verkehr und die Wirtschaft. Drei, zwo, eins, Zuendung! * Knall * Sekundenschnell war vorbei, was jahrelange Vorbereitung brauchte. 17.000 Tonnen Beton und Stahl krachen aus 70 Metern Hoehe in die Tiefe. Jubel. Erleichterung. Bei Anwohnern, die sich die Sprengung nicht entgehen lassen wollten. Seit Ende 2021 geht auf der Bruecke nichts mehr. Pendler, Lastwagen quaelen sich auf Umwegen durch Luedenscheid. Anwohner zogen weg. Der Region entsteht ein Schaden in Milliardenhoehe, berechnet das Institut der Deutschen Wirtschaft. Einige Unternehmen muessen Insolvenz anmelden, andere mit steigenden Kosten klarkommen. Die Umwege durch die fehlende Bruecke kosten das Unternehmen viel Geld. Zum Teil doppelte Ausgaben, um das Material verlaesslich zum Kunden zu bringen. Sie muessen sich vorstellen, dass wir fast fuer jede Tour gen Suedwestfalen"
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,Sachinhalt,Julia-Niharika Sen,Moderation,"Reaktionen der Bundesparteien zum Wahlausgang der Bürgerschaftswahl in Bremen. Die SPD von Bürgermeister Andreas Bovenschulte hat nach aktueller Hochrechnung mit 30,1 Prozent einen deutlichen Sieg errungen. Die CDU landete mit 25 Prozent auf dem zweiten Platz, die mitregierenden Bündnis 90/Die Grünen mussten deutliche Verluste einstecken, die Linke blieb stabil und die FDP schaffte die Fünf-Prozent- Hürde. Bildinhalt",2023-05-15,20:04:46.11,"1'56""",
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,Bildinhalt,Julia-Niharika Sen,Moderation,Andreas Bovenschulte nimmt Gratulationen von Parteigenossen in der SPD-Parteizentrale entgegen,2023-05-15,20:04:46.11,"0'17""",
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,Bildinhalt,Julia-Niharika Sen,Moderation,Parteizentrale und Pressekonferenz Bündnis 90/Die Grünen,2023-05-15,20:05:17.04,"0'20""",
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,Bildinhalt,Julia-Niharika Sen,Moderation,"Kristina Vogt, Spitzenkandidatin Die Linke Bremen, mit Blumenstrauß auf Pressekonferenz von Die Linke 15.11.2023 09:44 Seite 8 von 36 NDR Copyright (c) 2004",2023-05-15,20:05:38.03,"0'15""",
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,Bildinhalt,Julia-Niharika Sen,Moderation,Parteizentrale und Pressekonferenz CDU,2023-05-15,20:05:54.03,"0'22""",
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,Bildinhalt,Julia-Niharika Sen,Moderation,Bundesgeschäftsstelle (Schild) und Pressekonferenz der FDP,2023-05-15,20:06:16.06,"0'17""",
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,Bildinhalt,Julia-Niharika Sen,Moderation,Skulptur und Bundeskanzleramt (Gebäude außen) O-Ton,2023-05-15,20:06:33.13,"0'09""",
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,O-Ton,Lars Klingbeil,Vorsitzender SPD,"(zum geplanten Heizungsgesetz: ""Wir wollen die soziale Förderung auf denWeg bringen, das heißt auch Förderung gestaffelt nach Einkommen. Wir werden als SPD darauf achten,dass der Mieterschutz gestärkt wird. Es kann nicht sein, dass die Kosten am Ende auf die Mieter umgelegtwerden"")",2023-05-15,20:05:03.24,"0'13""",
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,O-Ton,Omid Nouripour,Vorsitzender Bündnis 90/Die Grünen,"(""Wir sind für Sondierungsgespräche ... bereit, weil wirhoffen, dass wir weiter mitwirken können"")",2023-05-15,20:05:30.20,"0'07""",
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,O-Ton,Martin Schirdewan,Vorsitzender Die Linke,"(""Es ist ein Grund zur Freude für die gesamte Partei ... DiesesErgebnis wird uns entsprechend auch Rückenwind geben für die gesamte Partei"")",2023-05-15,20:05:45.07,"0'08""",
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,O-Ton,Friedrich Merz,Vorsitzender CDU,"(""Deshalb möchte ich auch an die SPD appellieren, jetzt auch die Chancewahrzunehmen, mit der CDU in Bremen Gespräche zu führen über eine mögliche Zusammenarbeit inBremen"")",2023-05-15,20:06:03.09,"0'12""",
Tagesschau,03 Reaktionen Wahl Bürgerschaft Bremen,O-Ton,Christian Lindner,Vorsitzender FDP,"(""Wir arbeiten mit fröhlicher Penetranz daran, dass Deutschlandliberaler, moderner und digitaler wird"")",2023-05-15,20:06:24.03,"0'09""",
Tagesschau,Debatte um Gebäudeenergiegesetz Do 20:00 01,Einspieler,,,,2023-05-15,,"1'50""","Hier ist das Erste Deutsche Fernsehen mit der tagesschau. Diese Sendung wurde vom NDR live untertitelt (15.05.2023) Heute im Studio: Julia-Niharika Sen. Guten Abend, ich begruesse Sie zur tagesschau. In der Tuerkei wird zum ersten Mal in einer Stichwahl ueber den Praesidenten entschieden. Bei der Abstimmung gestern holte Erdogan die meisten Stimmen, verfehlte wie Herausforderer Kilicdaroglu die absolute Mehrheit. In zwei Wochen ist die entscheidende Runde. Die Wahl in der Tuerkei gilt als eine der weltweit wichtigsten in diesem Jahr. Sie ist richtungsweisend fuer die Zukunft des Landes. Stichwahl nach einem Wahlkrimi. Am Nachmittag verkuendigt der Chef der Wahlkommission, dass fuer keinen der beiden Kandidaten reicht. Am Morgen nach der Wahl kommt das Leben nur langsam in die Gaenge. Die Anhaenger der Opposition fanden den Wahlkampf unfair, hatten sich mehr erhofft. Die Unterstuetzer der Regierung koennen mit dem Ergebnis leben. Ich hatte erwartet, dass unser Praesident gewinnt. Nicht nur erwartet. Es war offensichtlich, dass er gewinnt. Ich bin enttaeuscht. Aber am Ende hat der Praesident alle Mittel zur Verfuegung. Seine AKP gewinnt auch deshalb. Erdogan, seit 20 Jahren im Amt, muss in die Stichwahl. Fuer ihn das erste Mal. Dennoch zeigt er sich gestern Nacht siegessicher. Trotz schlechter Wirtschaftslage und hoher Inflation gilt er als Favorit. Auch, weil er Medien und den Staatsapparat hinter sich hat. Die Opposition: geschockt. In vielen Umfragen lag Herausforderer Kilicdaroglu vorne."
Tagesschau,01 Debatte um Gebäudeenergiegesetz,O-Ton,Julia Klöckner,Fraktion CDU/CSU,"(Ich erwarte von Minister Habeck, dass er jetzt einfach mal auf dieStopptaste drückt, dass er nicht mit der Brechstange versucht, ein Gesetz durchzudrücken, was gegen jedewissenschaftliche Berechnung ist, was auch gegen die Wünsche und Bedürfnisse der Bürgerinnen undBürger ist und vor allen Dingen das überhaupt nicht technologieoffen ist)",2023-05-18,20:01:25.13,"0'19""",
Tagesschau,01 Debatte um Gebäudeenergiegesetz,O-Ton,Andreas Audretsch,stellvertretender Fraktionsvorsitzender Bündnis 90/Die Grünen,"(Im Kabinett habenwieder alle zugestimmt, und deswegen sind wir jetzt in den parlamentarischen Beratungen auch genau aufdiesem Weg. Vor dem Sommer wird es einen Beschluss über das Gebäudeenergiegesetz im DeutschenBundestag geben)",2023-05-18,20:01:57.17,"0'09""",
Tagesschau,Philipp Nimmermann wird Graichen-Nachfolger Mo 20:00 01,Einspieler,,,,2023-05-18,,"2'31""","Hier ist das Erste Deutsche Fernsehen mit der tagesschau. Diese Sendung wurde vom NDR live untertitelt (18.05.2023) Heute im Studio: Thorsten Schroeder. Guten Abend, ich begruesse Sie zur tagesschau. Nach der Entlassung von Wirtschaftsstaatssekretaer Graichen gibt es neuen Streit ueber das Gebaeudeenergiegesetz. Die FDP stellt jetzt den Zeitplan fuer das umstrittene Vorhaben zum Austausch von ÈOl- und Gasheizungen in Frage. Die Begruendung: Dem Bundestag fehle nun der Ansprechpartner fuer das Gesetz. SPD und Gruene sehen keinen Zusammenhang. Sichtlich angefasst verkuendet der Wirtschaftsminister gestern die Versetzung seines Staatssekretaers in den Ruhestand. Auch aus seiner Sicht ist der Schritt unausweichlich. Der gesamte Zeitplan fuer das Heizungsgesetz geraet in Schieflage. Auch im Regierungslager. Es gibt viele Dinge, die an diesem Gesetz geaendert werden muessen. Es muss zurueck in die Montagehalle und in einem neuen Entwurf beraten werden. Viele Einzelheiten umstritten und der zustaendige Staatssekretaer muss gehen. Dass Habeck sein Heizungsgesetz vor der Sommerpause durchbringt, scheint fraglich. Die Union fordert die Regierung auf, das Vorhaben ganz aufzugeben. Ich erwarte von Minister Habeck, dass er die Stopp-Taste drueckt. Dass er nicht versucht, ein Gesetz durchzudruecken gegen wissenschaftliche Berechnung. Das gegen die Wuensche der Buergerinnen und Buerger ist und das nicht technologieoffen ist. Die Gruenen ficht der Vorwurf nicht an. Der naechste Schritt zur Energiewende werde nun zuegig gegangen. So sei es im Koalitionsausschuss mit SPD und FDP vereinbart worden. Im Kabinett haben wieder alle zugestimmt. Deswegen sind wir jetzt genau auf diesem Weg. Vor dem Sommer wird es einen Beschluss ueber das Gesetz geben. Auch die SPD moechte den Zeitplan halten. Die juengste Personalentscheidung im Wirtschaftsministerium duerfe die Energiewende nicht ausbremsen. Das koennen wir nur erreichen, wenn wir zuegig ins Verfahren eintreten und es zuegig abschliessen. Robert Habeck hat ein personelles Problem erledigt. Inhaltlich kommt er der Energiewende nicht naeher."
Tagesschau,01 Philipp Nimmermann wird Graichen-Nachfolger,Sachinhalt,Jens Riewa,Moderation,"Philipp Nimmermann wird neuer Staatssekretär im Bundeswirtschaftsministerium. Bundeswirtschaftsminister Robert Habeck lobte Nimmermann als erfahrenen Staatssekretär mit ökonomischer Expertise und viel Verwaltungserfahrung, der die Energiewende, die Wärmewende und die Transformation voranbringen werde. Derweil geht der Streit innerhalb der Regierungskoalition über das Gebäudeenergiegesetz (Heizungsgesetz) weiter. Die FDP kritisiert, der Entwurf sei nicht praxistauglich und besteht auf einer grundlegenden Überarbeitung. Bildinhalt",2023-05-22,20:00:44.17,"2'31""",
Tagesschau,01 Philipp Nimmermann wird Graichen-Nachfolger,Bildinhalt,Jens Riewa,Moderation,Archivmaterial/Fotos: Philipp Nimmermann,2023-05-22,20:00:48.06,"0'07""",
