Content Type,Date,Program,Segment Description,Speaker Description,Speaker Name,Subtitle
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,Ricarda Lang.
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,Guten Abend.
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,"Vor einer Woche beklagte Robert Habeck hier im Interview beklagt,"
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,die Koalition komme ihrem Auftrag nicht nach.
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,Wird sie das nach dieser Marathon-Sitzung nun?
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,Es waren zaehe Verhandlungen.
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,Ebenfalls in unserem Hauptstadtstudio
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,In diesem Papier steckt ein grosser Fortschritt fuer den Naturschutz.
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,"Man kann das untereinander vermauscheln,"
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,Das ist ein Kompromiss.
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,Kein Sektor wird aus der Verantwortung genommen.
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,Dann muss der betreffende Sektor Verantwortung uebernehmen.
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,Es kann nicht zur Verantwortungs- Diffusion kommen.
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,kann ein Sektor dem anderen helfen.
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,"Nur wenn die Regierung als gesamtes ihre Klimaziele einhaelt,"
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,welcher Sektor besser dasteht.
Sachinhalt,2023-03-28,tagesthemen,"Schaltgespräch mit Ricarda Lang, Vorsitzende Bündnis 90/Die Grünen, über die Verständigung des Koalitionsausschusses der Ampel-Koalition auf einen gemeinsamen Kurs in der Klima-, Verkehrs- und 15.11.2023 09:50 Seite 3 von 57 NDR Copyright (c) 2004",Moderation,Ingo Zamperoni,"Wenn wir uns einig gewesen waeren,"
